,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
0,23.666666666666668,0.0,23.25,235.0,0.41666666666666785,0.005208333333333348
1,24.666666666666668,0.75,23.25,235.0,1.4166666666666679,0.017708333333333347
2,25.0,1.5,23.0,235.0,2.0,0.025
3,26.0,2.0,23.25,235.0,2.75,0.034375
4,27.333333333333332,2.5,23.25,235.0,4.083333333333332,0.05104166666666665
5,28.0,0.0,28.0,235.0,0.0,0.0
6,28.6,0.5,28.0,235.0,0.6000000000000014,0.007500000000000018
7,29.0,3.0,23.5,235.0,5.5,0.06875
8,29.4,0.0,29.0,260.0,0.3999999999999986,0.004999999999999982
9,29.6,0.75,28.75,247.5,0.8500000000000014,0.010625000000000018
10,30.8,1.0,29.0,260.0,1.8000000000000007,0.02250000000000001
11,31.0,1.5,29.0,235.0,2.0,0.025
12,31.333333333333332,3.5,23.75,235.0,7.583333333333332,0.09479166666666665
13,31.6,0.0,27.75,210.0,3.8500000000000014,0.048125000000000015
14,31.8,1.5,29.25,260.0,2.5500000000000007,0.03187500000000001
15,33.0,2.0,29.0,235.0,4.0,0.05
16,33.333333333333336,4.0,24.25,235.0,9.083333333333336,0.1135416666666667
17,33.6,0.5,28.25,210.0,5.350000000000001,0.06687500000000002
18,33.8,2.0,30.0,260.0,3.799999999999997,0.047499999999999966
19,34.8,2.5,29.75,235.0,5.049999999999997,0.06312499999999996
20,35.2,1.0,29.0,210.0,6.200000000000003,0.07750000000000004
21,35.333333333333336,4.5,24.75,235.0,10.583333333333336,0.1322916666666667
22,35.6,2.5,30.5,260.0,5.100000000000001,0.06375000000000001
23,37.0,3.0,30.5,235.0,6.5,0.08125
24,37.2,1.5,29.75,210.0,7.450000000000003,0.09312500000000004
25,37.4,3.0,31.0,260.0,6.399999999999999,0.07999999999999999
26,38.0,5.0,25.75,235.0,12.25,0.153125
27,39.0,3.5,31.25,235.0,7.75,0.096875
28,39.2,2.0,30.75,235.0,8.450000000000003,0.10562500000000004
29,39.4,3.5,31.75,260.0,7.649999999999999,0.09562499999999999
30,40.0,5.5,26.5,260.0,13.5,0.16875
31,40.8,2.5,31.5,235.0,9.299999999999997,0.11624999999999996
32,41.0,4.0,31.5,260.0,9.5,0.11875
33,41.4,4.0,32.5,260.0,8.899999999999999,0.11124999999999999
34,42.333333333333336,6.0,27.25,260.0,15.083333333333336,0.1885416666666667
