,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
5,302.75,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.02356827772859268,0.004419417382415921,179.9341715699966,176.1661417762228,3.768029793773974
44,322.15,1.0606601717798212,0.5303300858899106,0.5303300858899106,0.0,0.006629126073623889,0.0,4.671396026447673,4.671396026447512
50,325.34999999999997,1.0606601717798212,0.5303300858899106,0.5303300858899106,0.0,0.006629126073623869,0.0,4.671396026447191,4.671396026447191
52,326.75,1.0606601717798212,0.3535533905932738,0.3535533905932738,0.02356827772859268,0.004419417382415936,176.35550176647286,170.91510716742945,5.440394599043564
63,331.15,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.02356827772859266,0.004419417382415936,163.69242615994222,157.3919988526375,6.300427307304552
72,334.75,1.0606601717798212,0.1767766952966369,0.1767766952966369,0.0,0.002209708691207963,0.0,1.2986217243924945,1.2986217243924945
74,335.95,0.7637626158259736,0.5204164998665388,0.5204164998665335,0.0,0.0065052062483316525,0.0,3.823038841883545,3.8230388418835086
76,336.95,1.0606601717798212,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415906,0.0,2.5972434487845066,2.5972434487846674
77,337.15,1.4142135623730951,3.3587572106361008,3.3587572106361008,0.02356827772859272,0.04198446513295129,153.7255657114031,166.54452245084164,12.818956739438699
81,338.54999999999995,0.0,0.8838834764831844,0.8838834764831844,0.02356827772859268,0.011048543456039806,154.36390411269613,138.56929307189273,15.794611040803241
84,339.75,0.0,0.7071067811865476,0.7071067811865476,0.02356827772859268,0.008838834764831872,154.91105131380436,139.8679147962846,15.043136517519613
86,340.54999999999995,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.0,0.017677669529663705,0.0,8.63081382650018,8.63081382650018
93,342.15,0.7071067811865476,1.2374368670764582,1.2374368670764582,0.0,0.015467960838455731,0.0,7.551962098187899,7.551962098187818
95,343.15,1.4719601443879744,1.1273124382057182,1.1273124382057234,0.049995867008327345,0.014091405477571553,286.0515236605214,269.91919144040844,16.953441717794952
98,344.15,1.7677669529663689,0.7071067811865476,0.7071067811865476,0.07070483318577803,0.008838834764831832,382.87792236084124,361.04882491413275,21.82909744670852
102,345.15,2.1213203435596424,1.590990257669732,1.590990257669732,0.09427311091437075,0.019887378220871676,497.3773487837587,456.32491244509293,41.05243633866571
103,345.34999999999997,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415926,0.0,2.157703456624804,2.1577034566248843
105,346.15,1.3228756555322954,2.322893310794389,2.322893310794392,0.07697367273500402,0.029036166384929896,407.2835146062529,369.9545553837133,37.36326982924765
106,346.81666666666666,0.3535533905932738,1.0606601717798212,1.0606601717798212,0.0,0.013258252147247759,0.0,4.311539970988755,4.311539970988755
108,347.15,1.892969448600091,3.905124837953327,3.905124837953327,0.07697367273500402,0.048814060474416596,408.46012449966975,364.08892200089497,44.40062113149508
114,348.75,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.02356827772859266,0.0022097086912079337,137.6531220615728,128.92357211754086,8.729549944031914
115,349.15,0.3535533905932738,1.4142135623730951,1.4142135623730951,0.0,0.017677669529663674,0.0,5.748719961318661,5.748719961318661
117,349.54999999999995,0.7071067811865476,0.1767766952966369,0.1767766952966369,0.02356827772859266,0.0022097086912079337,137.968885495692,127.16057295356529,10.808312542126776
119,350.15,1.7559422921421235,6.625393070100322,6.625393070100319,0.09621709091875504,0.08281741337625398,472.57253228420063,416.954440666843,55.8574171405867
120,350.34999999999997,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415926,0.0,1.960351310300309,1.960351310300309
122,350.81666666666666,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,350.95,0.0,1.9445436482630056,1.9445436482630056,0.0,0.024306795603287582,0.0,10.781932206651538,10.781932206651538
124,351.15,1.0606601717798212,0.8838834764831844,0.8838834764831844,0.0235682777285927,0.011048543456039806,129.87746039582407,116.19233127456351,13.685129121260642
125,351.4833333333333,0.3535533905932738,0.7071067811865476,0.7071067811865476,0.04713655545718536,0.008838834764831853,193.25573403668176,183.93184340273817,9.323890633943542
126,351.75,0.3535533905932738,2.2980970388562794,2.2980970388562794,0.02356827772859278,0.02872621298570351,130.09937831192119,108.16599443661497,21.93338387530624
127,352.15,1.0408329997330668,2.4537386440559015,2.453738644055909,0.03848683636750201,0.030671733050698854,206.39650625393588,178.87126621444648,27.525240039489415
132,353.15,1.3228756555322954,8.733317430010956,8.733317430010965,0.13470392728625705,0.10916646787513705,635.1622873525776,562.4633635995225,72.70265453044557
135,353.75,1.7677669529663689,1.0606601717798212,1.0606601717798212,0.02356827772859266,0.013258252147247778,123.09248230117706,109.29328480282662,13.799197498350361
138,354.15,0.3535533905932738,1.0606601717798212,1.0606601717798212,0.0,0.013258252147247759,0.0,2.576883943913292,2.576883943913292
140,354.54999999999995,0.7637626158259734,2.0361319538117724,2.0361319538117697,0.019243418183751013,0.025451649422647122,107.0712752646257,88.13174052841983,19.00106674557466
141,354.75,1.796988221070652,2.0310096011589907,2.03100960115899,0.031911598899702236,0.025387620014487362,172.89774404227225,149.88923465455755,23.35207019416474
143,355.15,3.5355339059327378,10.253048327204938,10.253048327204938,0.0942731109143708,0.1281631040900617,410.7087253439327,356.3096947591528,54.39903058477998
144,355.34999999999997,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.0,0.0022097086912079727,0.0,0.8877098567762969,0.8877098567762969
145,355.75,2.29128784747792,2.036131953811774,2.0361319538117697,0.05091329888902343,0.025451649422647122,266.95129680076735,238.33136130160355,29.368120278060776
148,356.34999999999997,1.892969448600091,8.948929172439204,8.9489291724392,0.09621709091875501,0.11186161465549004,455.1836743337867,393.0649688639222,62.118705469864594
149,356.4833333333333,0.7637626158259737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,356.54999999999995,2.309401076758503,1.464866319270576,1.4648663192705786,0.0333305780055515,0.018310828990882225,170.5767656384216,151.25942755539933,19.508289044957326
151,356.75,0.7071067811865476,5.303300858899107,5.303300858899107,0.04713655545718544,0.06629126073623881,228.19142211151305,191.95274493310066,36.238677178412225
152,356.81666666666666,1.0606601717798212,0.3535533905932738,0.3535533905932738,0.0,0.004419417382415916,0.0,0.6075737700396302,0.60757377003959
154,357.15,1.172603939955857,7.2253892628702046,7.225389262870203,0.09999173401665462,0.0903173657858775,427.9921351513972,384.12396362533406,44.91317171690625
155,357.34999999999997,3.181980515339464,2.2980970388562794,2.2980970388562794,0.04713655545718532,0.02872621298570351,241.73993018751406,212.47594055253387,29.263989634980266
156,357.54999999999995,0.3535533905932738,0.5303300858899106,0.5303300858899106,0.0,0.006629126073623899,0.0,2.4021561096196984,2.4021561096196984
158,357.81666666666666,1.0606601717798212,1.0606601717798212,1.0606601717798212,0.0,0.013258252147247773,0.0,1.4685239528849596,1.4685239528849596
159,357.95,0.6454972243679028,2.0463381929681126,2.0463381929681126,0.019243418183750964,0.025579227412101408,101.69786099175654,83.98715451822132,17.798618031986106
160,358.15,4.481443219916251,9.818137976894253,9.818137976894262,0.13470392728625705,0.12272672471117826,554.2521334678631,498.4934781598739,55.76895106515514
161,358.34999999999997,2.1213203435596424,3.7123106012293743,3.7123106012293743,0.09427311091437075,0.0464038825153672,377.20067980192323,350.61115646613274,26.589523335790442
162,358.54999999999995,3.8890872965260113,0.5303300858899106,0.5303300858899106,0.02356827772859266,0.006629126073623899,117.78899307353339,106.71404539470078,11.074947678832615
163,358.75,1.0,2.020725942163682,2.02072594216369,0.019243418183750964,0.025259074277046132,101.92515052603058,84.07834867170413,17.846801854326483
164,358.95,1.0,1.75,1.75,0.01924341818375099,0.02187500000000002,101.98197290959911,85.60649061200256,16.42206067401699
165,359.15,0.8997354108424384,8.384545022724541,8.384545022724563,0.1301092540281381,0.10480681278405704,525.9984961070147,477.95216963228637,48.12737868074163
166,359.34999999999997,3.5677957714346076,6.448514040717699,6.4485140407177015,0.11546050910250596,0.08060642550897126,505.57955417230346,452.1780710373456,53.64884306311379
167,359.75,3.3291640592396967,2.179449471770337,2.179449471770337,0.03848683636750195,0.027243118397129226,198.70545004403115,172.73124603582846,26.009082119438332
169,359.95,3.923752455664517,5.129063429776109,5.129063429776109,0.09025963192193844,0.06411329287220136,376.9825154608429,339.76323124276735,37.27275447721307
170,360.15,2.160246899469287,11.262955503182399,11.262955503182399,0.16665289002775763,0.14078694378978,712.7641066252527,637.4696370443093,75.2969188871519
171,360.34999999999997,1.2144957801491116,3.9032571868462194,3.9032571868462203,0.08860335117797764,0.04879071483557773,381.4562950708352,345.8487084373658,35.656375138389414
172,360.4833333333333,3.8890872965260113,2.4748737341529163,2.4748737341529163,0.02356827772859266,0.03093592167691143,81.8341185148487,76.28878198914119,5.545336525707541
173,360.54999999999995,1.0606601717798212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,360.75,2.024845673131659,5.3977232854849655,5.397723285484971,0.10327101882797465,0.06747154106856214,462.1552304067464,411.9655461512603,50.436485014190175
175,360.81666666666666,1.8257418583505547,1.2644992421244678,1.26449924212446,0.03191159889970221,0.015806240526555753,105.04703407765186,101.7640731675942,3.303656721422951
176,360.95,4.645786621588784,5.137687547266114,5.137687547266117,0.10714281798252404,0.06422109434082646,450.2058487580292,406.4069669039379,43.79913783793188
177,361.15,5.046922683321844,8.11505801991994,8.115058019919923,0.11044926984614258,0.10143822524899904,425.1190040766256,388.94941474620276,36.48107190961839
178,361.34999999999997,2.041241452319315,5.582711408148081,5.582711408148076,0.11546050910250596,0.06978389260185094,508.3934100463667,455.5756759478127,53.01203579120746
179,361.4833333333333,4.242640687119285,1.9445436482630056,1.9445436482630056,0.02356827772859278,0.02430679560328758,76.17730386621433,73.4283909326365,2.7489129335778113
180,361.54999999999995,2.9011491975882007,5.351693657151913,5.351693657151912,0.11546050910250596,0.06689617071439888,508.674795633773,456.30170382051864,52.76830376591776
181,361.75,1.0408329997330654,0.38188130791298047,0.3818813079129863,0.0,0.004773516348912346,0.0,1.552331809044405,1.5523318090445182
182,361.81666666666666,5.656854249492381,1.590990257669732,1.590990257669732,0.0,0.01988737822087164,0.0,0.7260689922645571,0.7260689922645672
183,361.95,2.868652413009751,6.920681565664846,6.920681565664854,0.1374254936797778,0.08650851957081067,606.999780873803,544.4147408400012,62.65507482017496
184,362.15,6.501281924871946,12.718506856807773,12.718506856807785,0.20654203765594933,0.15898133571009732,853.7692263978503,773.4109074671297,80.36806114970842
185,362.34999999999997,2.598076211353317,6.980627956471156,6.980627956471156,0.1374254936797778,0.08725784945588945,607.6705915171226,544.5566085713733,63.238676310700754
186,362.4833333333333,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,362.54999999999995,2.9166666666666665,5.824248878610868,5.824248878610871,0.11438643451015827,0.07280311098263591,497.1773218950957,446.90407886677883,50.31760028191278
188,362.75,4.552929459882579,5.03063531441772,5.03063531441772,0.11546050910250596,0.06288294143022151,510.36310915821093,459.36464591822136,51.08189538930872
189,362.95,2.669269563007828,3.8913824205360674,3.8913824205360674,0.07070483318577805,0.048642280256700844,301.1055776542779,270.5301523941744,30.580795419860767
190,363.15,4.589389937671455,6.712472842899747,6.71247284289975,0.1197893121549053,0.08390591053624691,531.3694065509318,473.9646491519553,57.608534190470905
191,363.34999999999997,3.4615231989895516,5.414823404322621,5.414823404322618,0.0843909849869844,0.06768529255403273,373.3749434487638,331.07849695797256,42.45222252550294
192,363.54999999999995,1.9311050377094112,0.239356776939087,0.2393567769390847,0.0,0.0029919597117385468,0.0,1.0841782493599128,1.0841782493599743
193,363.75,2.0896570691543292,6.08019325350766,6.080193253507654,0.09525006043657192,0.07600241566884569,417.4449111436186,370.1890796750106,47.26340646341125
194,363.95,2.1286732957407986,7.420711844945491,7.420711844945489,0.12075149076167568,0.09275889806181861,529.4989876302665,470.0814223624434,59.435867880753854
195,364.15,1.5545631755148024,8.960561738343566,8.960561738343566,0.1449656645128435,0.1120070217292946,628.0747235206406,559.2233954075577,68.98024725258237
196,364.34999999999997,1.5545631755148024,8.95125689498407,8.951256894984079,0.1449656645128435,0.11189071118730101,628.4196773712631,558.355815022365,70.15312261368283
197,364.54999999999995,1.704336206492696,8.22398495690675,8.223984956906753,0.12970202531710937,0.10279981196133443,565.6734966145306,501.758830895538,63.99636256324208
201,365.75,2.1213203435596424,0.3535533905932738,0.3535533905932738,0.02356827772859266,0.004419417382415906,120.15429986513679,107.51476409790757,12.639535767229294
202,365.95,1.0606601717798212,0.3535533905932738,0.3535533905932738,0.02356827772859266,0.004419417382415906,120.22000283157037,110.55338149464997,9.666621336920317
203,366.15,1.345185418269099,0.5747670335511119,0.5747670335511096,0.01259777435096121,0.007184587919388864,64.29541423177398,59.15901061665811,5.637229636319815
