,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
8,304.15,0.3535533905932738,0.7071067811865476,0.9428090415820625,0.0,0.01178511301977578,0.0,5.6888019395743274,5.6888019395743274
11,305.75,0.7071067811865476,0.3535533905932738,0.7778174593052033,0.0,0.009722718241315039,0.0,2.8444009697873245,2.8444009697871637
23,312.75,0.7071067811865476,0.3535533905932738,1.7206265008872683,0.0,0.021507831261090852,0.0,2.8444009697873245,2.8444009697871637
25,314.75,2.3629078131263044,1.0408329997330608,1.3929717765878709,0.0,0.017412147207348384,0.0,8.373689724370116,8.373689724370163
29,316.75,3.181980515339464,0.8838834764831844,0.9545941546018402,0.02356827772859266,0.01193242693252299,156.5742895550712,144.22354768535095,12.350741869720087
32,318.75,3.181980515339464,1.0606601717798212,1.0135197197007209,0.0,0.012668996496259024,0.0,7.791730346353681,7.791730346353681
37,321.75,2.4748737341529163,0.8838834764831844,0.29462782549439315,0.02356827772859266,0.0036828478186799168,159.04586476509584,159.43418261829578,0.3883178531997881
44,325.15,2.362907813126304,1.2583057392117982,2.2422706745122856,0.0,0.028028383431403573,0.0,9.243657180749457,9.243657180749404
46,326.75,2.4748737341529163,0.8838834764831844,0.4124789556921494,0.0,0.005155986946151852,0.0,6.493108621961669,6.493108621961508
48,328.15,2.4748737341529163,0.5303300858899106,0.7660323462854282,0.02356827772859272,0.009575404328567865,149.62196170309045,146.108541861258,3.513419841832313
59,332.15,2.1213203435596424,0.0,2.5927248643506724,0.09427311091437074,0.032409060804383404,510.068168240512,483.9620148155874,26.106153424924692
65,334.75,2.8284271247461903,1.4142135623730951,0.942809041582065,0.0,0.011785113019775799,0.0,8.63081382650026,8.630813826500342
85,340.75,3.181980515339464,0.5303300858899106,4.018723539743543,0.0,0.05023404424679428,0.0,2.940526965450222,2.940526965450142
87,341.34999999999997,3.181980515339464,0.5303300858899106,3.9715830876644422,0.0,0.04964478859580551,0.0,2.9405269654505437,2.9405269654504633
90,342.15,2.4748737341529163,0.0,0.23570226039552256,0.0,0.002946278254944026,0.0,0.0,0.0
92,342.95,3.181980515339464,1.0606601717798212,3.9833682006842124,0.0,0.049792102508552656,0.0,5.326259140658022,5.3262591406579425
93,343.15,1.0606601717798212,1.9445436482630056,5.008673033404708,0.02356827772859266,0.06260841291755885,112.72986465815931,113.57128571337836,0.8414210552190483
94,343.34999999999997,3.181980515339464,1.2374368670764582,4.207285348059959,0.02356827772859266,0.05259106685074952,119.47365031267594,105.9698226460977,13.503827666578319
96,344.15,0.7071067811865476,1.0606601717798212,4.124789556921524,0.04713655545718532,0.05155986946151907,232.81040149442532,212.77071439356456,20.039687100860764
104,345.95,0.3535533905932738,1.7677669529663689,4.926177242266283,0.02356827772859266,0.06157721552832853,113.64970618822727,98.56302452295893,15.086681665268328
109,347.15,2.8284271247461903,2.4748737341529163,2.4748737341529163,0.04713655545718544,0.030935921676911442,222.05088209113316,215.67085533597879,6.380026755154292
111,347.54999999999995,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.0,0.002209708691207963,0.0,0.5669379104153249,0.5669379104153249
117,348.95,3.181980515339464,3.3587572106361008,6.752869760331527,0.0235682777285927,0.08441087200414406,108.56698266022555,88.67572144864788,19.891261211577586
118,349.15,2.4748737341529163,1.4142135623730951,1.88561808316413,0.02356827772859266,0.02357022603955162,103.16809395029848,101.86779641586789,1.3002975344305172
122,349.75,2.8284271247461903,4.065863991822648,7.554257445676275,0.04713655545718536,0.09442821807095345,212.16126656458047,184.04747740092645,28.113789163654108
