,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W]
0,0.0,300.47999999999996,298.9,1.58,1.0132495713687668,0.019792
1,0.5,300.47999999999996,299.15,1.33,1.0132495713687668,0.016667
2,1.0,302.82,299.15,3.67,1.0132495713687668,0.045833
3,1.5,303.82,299.9,3.92,1.0132495713687668,0.048958
4,2.0,305.47999999999996,299.9,5.58,1.0132495713687668,0.069792
5,2.5,308.15,299.9,8.25,1.0132495713687668,0.103125
6,3.0,312.47999999999996,300.9,11.58,1.0132495713687668,0.144792
7,3.5,313.82,301.9,11.92,1.0132495713687668,0.148958
8,4.0,315.15,302.4,12.75,1.0625788268169831,0.159375
9,4.5,316.15,302.15,14.0,1.0625788268169831,0.175
10,5.0,318.82,302.9,15.92,1.0625788268169831,0.198958
11,5.5,320.15,303.4,16.75,1.0625788268169831,0.209375
12,6.0,322.15,304.9,17.25,1.0625788268169831,0.215625
13,6.5,323.15,305.15,18.0,1.0625788268169831,0.225
14,7.0,324.15,305.65,18.5,1.0625788268169831,0.23125
15,7.5,326.15,306.15,20.0,1.1119080822651994,0.25
16,8.0,327.82,307.15,20.67,1.1119080822651994,0.258333
17,8.5,329.15,307.65,21.5,1.1119080822651994,0.26875
18,9.0,330.47999999999996,307.9,22.58,1.1119080822651994,0.282292
19,9.5,332.15,308.4,23.75,1.1119080822651994,0.296875
20,10.0,332.82,309.4,23.42,1.1119080822651994,0.292708
21,10.5,333.82,309.4,24.42,1.1119080822651994,0.305208
22,11.0,334.82,310.15,24.67,1.1119080822651994,0.308333
23,11.5,335.82,310.65,25.17,1.1599041145931936,0.314583
24,12.0,337.47999999999996,310.9,26.58,1.1599041145931936,0.332292
25,12.5,338.47999999999996,311.65,26.83,1.1599041145931936,0.335417
26,13.0,339.15,312.15,27.0,1.1599041145931936,0.3375
27,13.5,339.82,312.65,27.17,1.1599041145931936,0.339583
28,14.0,341.82,312.65,29.17,1.1599041145931936,0.364583
29,14.5,342.47999999999996,313.4,29.08,1.20923337004141,0.363542
30,15.0,343.82,313.65,30.17,1.20923337004141,0.377083
31,15.5,345.15,314.65,30.5,1.20923337004141,0.38125
32,16.0,345.82,315.15,30.67,1.20923337004141,0.383333
33,16.5,347.47999999999996,315.65,31.83,1.20923337004141,0.397917
34,17.0,348.15,316.4,31.75,1.20923337004141,0.396875
35,17.5,348.82,316.4,32.42,1.20923337004141,0.405208
36,18.0,349.47999999999996,316.65,32.83,1.20923337004141,0.410417
37,18.5,349.82,317.4,32.42,1.2585626254896263,0.405208
38,19.0,350.82,317.9,32.92,1.2585626254896263,0.411458
39,19.5,351.82,318.4,33.42,1.2585626254896263,0.417708
40,20.0,352.15,318.65,33.5,1.2585626254896263,0.41875
41,20.5,352.82,318.9,33.92,1.3078918809378424,0.423958
42,21.0,353.15,319.4,33.75,1.3078918809378424,0.421875
43,21.5,353.82,322.4,31.42,1.3078918809378424,0.392708
44,22.0,355.15,322.4,32.75,1.3078918809378424,0.409375
45,22.5,355.47999999999996,320.65,34.83,1.3078918809378424,0.435417
46,23.0,356.15,320.9,35.25,1.3078918809378424,0.440625
47,23.5,357.15,320.9,36.25,1.3078918809378424,0.453125
48,24.0,357.47999999999996,321.4,36.08,1.3558879132658366,0.451042
49,24.5,358.82,321.9,36.92,1.3558879132658366,0.461458
50,25.0,359.47999999999996,322.4,37.08,1.3558879132658366,0.463542
51,25.5,358.82,322.15,36.67,1.3558879132658366,0.458333
52,26.0,359.82,322.9,36.92,1.4052171687140529,0.461458
53,26.5,361.15,323.4,37.75,1.4052171687140529,0.471875
54,27.0,361.15,324.15,37.0,1.4052171687140529,0.4625
55,27.5,361.82,323.9,37.92,1.4052171687140529,0.473958
56,28.0,362.47999999999996,324.4,38.08,1.4052171687140529,0.476042
57,28.5,362.47999999999996,324.4,38.08,1.4052171687140529,0.476042
58,29.0,362.82,323.9,38.92,1.4052171687140529,0.486458
59,29.5,364.15,325.15,39.0,1.4052171687140529,0.4875
60,30.0,364.15,325.15,39.0,1.4052171687140529,0.4875
61,30.5,364.15,324.9,39.25,1.4052171687140529,0.490625
62,31.0,364.47999999999996,324.9,39.58,1.4052171687140529,0.494792
63,31.5,364.47999999999996,325.4,39.08,1.4052171687140529,0.488542
64,32.0,365.82,328.15,37.67,1.4052171687140529,0.470833
65,32.5,364.15,325.65,38.5,1.4052171687140529,0.48125
66,33.0,363.82,325.65,38.17,1.4052171687140529,0.477083
67,33.5,365.47999999999996,325.9,39.58,1.4052171687140529,0.494792
68,34.0,364.82,326.15,38.67,1.4052171687140529,0.483333
69,34.5,365.82,325.4,40.42,1.4052171687140529,0.505208
70,35.0,366.15,326.4,39.75,1.4052171687140529,0.496875
71,35.5,366.15,326.65,39.5,1.4052171687140529,0.49375
72,36.0,365.82,326.9,38.92,1.4052171687140529,0.486458
73,36.5,366.15,326.9,39.25,1.4052171687140529,0.490625
74,37.0,367.82,326.9,40.92,1.4052171687140529,0.511458
75,37.5,368.15,327.65,40.5,1.4052171687140529,0.50625
76,38.0,368.47999999999996,327.9,40.58,1.4052171687140529,0.507292
77,38.5,369.15,327.65,41.5,1.4052171687140529,0.51875
78,39.0,369.47999999999996,328.4,41.08,1.4052171687140529,0.513542
79,39.5,368.47999999999996,328.65,39.83,1.4052171687140529,0.497917
80,40.0,365.82,330.4,35.42,1.4052171687140529,0.442708
81,40.5,363.82,333.4,30.42,1.5038756796104855,0.380208
82,41.0,363.15,335.65,27.5,1.5038756796104855,0.34375
83,41.5,365.15,335.65,29.5,1.5532049350587018,0.36875
84,42.0,366.47999999999996,336.65,29.83,1.601200967386696,0.372917
85,42.5,365.15,336.65,28.5,1.601200967386696,0.35625
