,Time (Min),Tc - AVG (oC),Te - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,0.0,25.25,27.0,760.0,1.75,80,0.021875
1,0.5,25.25,27.0,760.0,1.75,80,0.021875
2,1.0,25.0,28.67,760.0,3.67,80,0.045833
3,1.5,25.0,30.67,760.0,5.67,80,0.070833
4,2.0,25.25,32.0,760.0,6.75,80,0.084375
5,2.5,25.5,35.0,760.0,9.5,80,0.11875
6,3.0,26.25,37.33,760.0,11.08,80,0.138542
7,3.5,26.75,39.33,760.0,12.58,80,0.157292
8,4.0,27.25,41.0,760.0,13.75,80,0.171875
9,4.5,28.0,42.67,760.0,14.67,80,0.183333
10,5.0,28.25,44.67,760.0,16.42,80,0.205208
11,5.5,29.0,47.33,760.0,18.33,80,0.229167
12,6.0,30.5,48.67,760.0,18.17,80,0.227083
13,6.5,31.5,52.0,797.0,20.5,80,0.25625
14,7.0,33.25,55.0,797.0,21.75,80,0.271875
15,7.5,34.25,56.67,797.0,22.42,80,0.280208
16,8.0,35.0,58.33,834.0,23.33,80,0.291667
17,8.5,35.75,60.0,834.0,24.25,80,0.303125
18,9.0,37.25,61.67,834.0,24.42,80,0.305208
19,9.5,38.0,64.0,834.0,26.0,80,0.325
20,10.0,38.0,64.33,834.0,26.33,80,0.329167
21,10.5,38.75,66.33,834.0,27.58,80,0.344792
22,11.0,39.5,68.0,870.0,28.5,80,0.35625
23,11.5,40.25,69.67,870.0,29.42,80,0.367708
24,12.0,40.5,70.0,907.0,29.5,80,0.36875
25,12.5,41.0,72.33,907.0,31.33,80,0.391667
26,13.0,42.25,72.67,907.0,30.42,80,0.380208
27,13.5,42.5,74.0,907.0,31.5,80,0.39375
28,14.0,43.75,76.0,944.0,32.25,80,0.403125
29,14.5,44.5,77.33,944.0,32.83,80,0.410417
30,15.0,45.25,78.0,944.0,32.75,80,0.409375
31,15.5,45.75,78.0,981.0,32.25,80,0.403125
32,16.0,46.25,79.33,981.0,33.08,80,0.413542
33,16.5,49.0,79.67,1017.0,30.67,80,0.383333
34,17.0,48.25,80.67,1017.0,32.42,80,0.405208
