,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,300.15,0.25,298.4,1.75,1.0132495713687668,0.021875,32.84648091477691,32.65497219713287,0.19150871764404087
1,301.82,1.0,298.15,3.67,1.0132495713687668,0.045833,33.0292349481858,32.627613808898005,0.40162113928779775
2,303.82,1.5,298.15,5.67,1.0132495713687668,0.070833,33.24810205406471,32.627613808898005,0.6204882451667046
3,305.15,2.0,298.4,6.75,1.0132495713687668,0.084375,33.39364867947418,32.65497219713287,0.7386764823413117
4,308.15,2.5,298.65,9.5,1.0132495713687668,0.11875,33.721949338292546,32.68233058536774,1.0396187529248095
5,310.47999999999996,3.0,299.4,11.08,1.0132495713687668,0.138542,33.97692951664146,32.76440575007232,1.2125237665691415
6,312.47999999999996,3.5,299.9,12.58,1.0132495713687668,0.157292,34.19579662252037,32.81912252654205,1.3766740959783164
7,314.15,4.0,300.4,13.75,1.0132495713687668,0.171875,34.37855065592927,32.87383930301178,1.5047113529174894
8,315.82,4.5,301.15,14.67,1.0132495713687668,0.183333,34.56130468933815,32.95591446771637,1.6053902216217821
9,317.82,5.0,301.4,16.42,1.0132495713687668,0.205208,34.78017179521706,32.98327285595123,1.79689893926583
10,320.47999999999996,5.5,302.15,18.33,1.0132495713687668,0.229167,35.071265046036,33.065348020655826,2.005917025380171
11,321.82,6.0,303.65,18.17,1.0132495713687668,0.227083,35.21790600697487,33.229498350065,1.988407656909871
12,325.15,6.5,304.65,20.5,1.0625788268169831,0.25625,164.08691436989716,153.74159145867807,10.345322911219085
13,328.15,7.0,306.4,21.75,1.0625788268169831,0.271875,165.6008640642219,154.6247287803675,10.976135283854404
14,329.82,7.5,307.4,22.42,1.0625788268169831,0.280208,166.44362939406267,155.12937867847575,11.314250715586923
15,331.47999999999996,8.0,308.15,23.33,1.1119080822651994,0.291667,292.34169426948563,271.7662998948413,20.575394374644304
16,333.15,8.5,308.9,24.25,1.1119080822651994,0.303125,293.8145150412669,272.4277463492341,21.386768692032774
17,334.82,9.0,310.4,24.42,1.1119080822651994,0.305208,295.2873358130481,273.7506392580196,21.536696555028527
18,337.15,9.5,311.15,26.0,1.1119080822651994,0.325,297.342229464695,274.4120857124124,22.93014375228256
19,337.47999999999996,10.0,311.15,26.33,1.1119080822651994,0.329167,297.63326590462776,274.4120857124124,23.221180192215343
20,339.47999999999996,10.5,311.9,27.58,1.1119080822651994,0.344792,299.3971231163418,275.07353216680514,24.32359094953665
21,341.15,11.0,312.65,28.5,1.1599041145931936,0.35625,420.73233265899313,385.58394784063967,35.14838481835346
22,342.82,11.5,313.4,29.42,1.1599041145931936,0.367708,422.7919046816827,386.5089053358595,36.282999345823214
23,343.15,12.0,313.65,29.5,1.20923337004141,0.36875,542.0220433782865,495.4253647256289,46.5966786526576
24,345.47999999999996,12.5,314.15,31.33,1.20923337004141,0.391667,545.702391217632,496.2151389400808,49.48725227755119
25,345.82,13.0,315.4,30.42,1.20923337004141,0.380208,546.2394376834593,498.18957447621034,48.04986320724896
26,347.15,13.5,315.65,31.5,1.20923337004141,0.39375,548.3402370939011,498.5844615834363,49.755775510464844
27,349.15,14.0,316.9,32.25,1.2585626254896263,0.403125,667.5653883056499,605.904257637292,61.66113066835794
28,350.47999999999996,14.5,317.65,32.83,1.2585626254896263,0.410417,670.1083124541435,607.338237420277,62.77007503386653
29,351.15,15.25,318.65,32.5,1.2832272532137343,0.40625,727.510563432847,660.2172044571736,67.29335897567347
30,352.47999999999996,16.0,319.4,33.08,1.3078918809378424,0.413542,786.5998411236227,712.7779994748216,73.82184164880107
31,352.82,16.5,322.15,30.67,1.3558879132658366,0.383333,893.0761751854362,815.4426898588182,77.63348532661803
