,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,0.0,300.15,298.4,1.75,1.0132495713687668,0.021875,32.84648091477691,32.65497219713287,0.19150871764404087
1,0.5,300.15,298.4,1.75,1.0132495713687668,0.021875,32.84648091477691,32.65497219713287,0.19150871764404087
2,1.0,301.82,298.15,3.67,1.0132495713687668,0.045833,33.0292349481858,32.627613808898005,0.40162113928779775
3,1.5,303.82,298.15,5.67,1.0132495713687668,0.070833,33.24810205406471,32.627613808898005,0.6204882451667046
4,2.0,305.15,298.4,6.75,1.0132495713687668,0.084375,33.39364867947418,32.65497219713287,0.7386764823413117
5,2.5,308.15,298.65,9.5,1.0132495713687668,0.11875,33.721949338292546,32.68233058536774,1.0396187529248095
6,3.0,310.47999999999996,299.4,11.08,1.0132495713687668,0.138542,33.97692951664146,32.76440575007232,1.2125237665691415
7,3.5,312.47999999999996,299.9,12.58,1.0132495713687668,0.157292,34.19579662252037,32.81912252654205,1.3766740959783164
8,4.0,314.15,300.4,13.75,1.0132495713687668,0.171875,34.37855065592927,32.87383930301178,1.5047113529174894
9,4.5,315.82,301.15,14.67,1.0132495713687668,0.183333,34.56130468933815,32.95591446771637,1.6053902216217821
10,5.0,317.82,301.4,16.42,1.0132495713687668,0.205208,34.78017179521706,32.98327285595123,1.79689893926583
11,5.5,320.47999999999996,302.15,18.33,1.0132495713687668,0.229167,35.071265046036,33.065348020655826,2.005917025380171
12,6.0,321.82,303.65,18.17,1.0132495713687668,0.227083,35.21790600697487,33.229498350065,1.988407656909871
13,6.5,325.15,304.65,20.5,1.0625788268169831,0.25625,164.08691436989716,153.74159145867807,10.345322911219085
14,7.0,328.15,306.4,21.75,1.0625788268169831,0.271875,165.6008640642219,154.6247287803675,10.976135283854404
15,7.5,329.82,307.4,22.42,1.0625788268169831,0.280208,166.44362939406267,155.12937867847575,11.314250715586923
16,8.0,331.47999999999996,308.15,23.33,1.1119080822651994,0.291667,292.34169426948563,271.7662998948413,20.575394374644304
17,8.5,333.15,308.9,24.25,1.1119080822651994,0.303125,293.8145150412669,272.4277463492341,21.386768692032774
18,9.0,334.82,310.4,24.42,1.1119080822651994,0.305208,295.2873358130481,273.7506392580196,21.536696555028527
19,9.5,337.15,311.15,26.0,1.1119080822651994,0.325,297.342229464695,274.4120857124124,22.93014375228256
20,10.0,337.47999999999996,311.15,26.33,1.1119080822651994,0.329167,297.63326590462776,274.4120857124124,23.221180192215343
21,10.5,339.47999999999996,311.9,27.58,1.1119080822651994,0.344792,299.3971231163418,275.07353216680514,24.32359094953665
22,11.0,341.15,312.65,28.5,1.1599041145931936,0.35625,420.73233265899313,385.58394784063967,35.14838481835346
23,11.5,342.82,313.4,29.42,1.1599041145931936,0.367708,422.7919046816827,386.5089053358595,36.282999345823214
24,12.0,343.15,313.65,29.5,1.20923337004141,0.36875,542.0220433782865,495.4253647256289,46.5966786526576
25,12.5,345.47999999999996,314.15,31.33,1.20923337004141,0.391667,545.702391217632,496.2151389400808,49.48725227755119
26,13.0,345.82,315.4,30.42,1.20923337004141,0.380208,546.2394376834593,498.18957447621034,48.04986320724896
27,13.5,347.15,315.65,31.5,1.20923337004141,0.39375,548.3402370939011,498.5844615834363,49.755775510464844
28,14.0,349.15,316.9,32.25,1.2585626254896263,0.403125,667.5653883056499,605.904257637292,61.66113066835794
29,14.5,350.47999999999996,317.65,32.83,1.2585626254896263,0.410417,670.1083124541435,607.338237420277,62.77007503386653
30,15.0,351.15,318.4,32.75,1.2585626254896263,0.409375,671.3893343936102,608.772217203262,62.617117190348154
31,15.5,351.15,318.9,32.25,1.3078918809378424,0.403125,783.6317924720839,711.6621917110851,71.96960076099879
32,16.0,352.47999999999996,319.4,33.08,1.3078918809378424,0.413542,786.5998411236227,712.7779994748216,73.82184164880107
33,16.5,352.82,322.15,30.67,1.3558879132658366,0.383333,893.0761751854362,815.4426898588182,77.63348532661803
34,17.0,353.82,321.4,32.42,1.3558879132658366,0.405208,895.6074267448303,813.5442511892727,82.06317555555756
35,17.5,355.47999999999996,320.9,34.58,1.3558879132658366,0.432292,899.8093043334245,812.2786254095756,87.53067892384888
36,18.0,356.15,321.4,34.75,1.4052171687140529,0.434375,1007.3186754162625,909.0333350520477,98.28534036421479
37,18.5,357.15,322.9,34.25,1.4052171687140529,0.428125,1010.1470305346573,913.2758677296398,96.87116280501755
38,19.0,357.82,323.15,34.67,1.4052171687140529,0.433333,1012.0420284639818,913.9829565092383,98.05907195474344
39,19.5,358.15,323.15,35.0,1.4052171687140529,0.4375,1012.975385653052,913.9829565092383,98.99242914381364
40,20.0,359.15,324.4,34.75,1.4545464241622692,0.434375,1118.8265512617854,1010.5731121518119,108.25343910997356
41,20.5,359.82,324.4,35.42,1.4545464241622692,0.442708,1120.9137398719633,1010.5731121518119,110.34062772015147
