Time (Min),Condenser 1 (oC),Condenser 2 (oC),Condenser 3 (oC),Condenser 4 (oC),Tc - AVG 1&2 (oC),Evaporator 1 (oC),Evaporator 2 (oC),Evaporator 3 (oC),"Te - AVG 1,2,3 (oC)",Pressure (mm of Hg),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,28,28,28,28,28.00,33,31,30,31.33,-475.00,285,3.33,80,0.041667
0.5,28,28,28,28,28.00,30,33,30,31.00,-475.00,285,3.00,80,0.037500
1,28,28,28,28,28.00,30,32,30,30.67,-475.00,285,2.67,80,0.033333
1.5,28,29,29,29,28.75,31,34,32,32.33,-475.00,285,3.58,80,0.044792
2,29,29,29,29,29.00,32,35,33,33.33,-475.00,285,4.33,80,0.054167
2.5,29,29,29,29,29.00,33,36,34,34.33,-475.00,285,5.33,80,0.066667
3,29,29,29,29,29.00,33,39,36,36.00,-475.00,285,7.00,80,0.087500
3.5,29,29,30,30,29.50,35,43,39,39.00,-475.00,285,9.50,80,0.118750
4,30,30,30,30,30.00,37,45,40,40.67,-475.00,285,10.67,80,0.133333
4.5,30,30,31,30,30.25,37,47,42,42.00,-475.00,285,11.75,80,0.146875
5,30,31,31,32,31.00,38,49,43,43.33,-475.00,285,12.33,80,0.154167
5.5,32,31,32,32,31.75,39,52,45,45.33,-475.00,285,13.58,80,0.169792
6,31,32,32,32,31.75,41,55,46,47.33,-475.00,285,15.58,80,0.194792
6.5,31,31,33,33,32.00,42,56,48,48.67,-450.00,310,16.67,80,0.208333
7,32,33,34,34,33.25,43,60,51,51.33,-450.00,310,18.08,80,0.226042
7.5,33,34,35,35,34.25,45,62,53,53.33,-450.00,310,19.08,80,0.238542
8,34,35,36,37,35.50,46,65,55,55.33,-450.00,310,19.83,80,0.247917
8.5,34,36,36,36,35.50,48,67,56,57.00,-400.00,360,21.50,80,0.268750
9,35,36,38,37,36.50,48,69,57,58.00,-400.00,360,21.50,80,0.268750
9.5,35,38,39,38,37.50,50,72,59,60.33,-400.00,360,22.83,80,0.285417
10,36,38,39,40,38.25,51,75,61,62.33,-400.00,360,24.08,80,0.301042
10.5,36,40,42,40,39.50,53,77,63,64.33,-400.00,360,24.83,80,0.310417
11,37,41,42,40,40.00,54,79,64,65.67,-375.00,385,25.67,80,0.320833
11.5,38,41,42,41,40.50,54,80,65,66.33,-350.00,410,25.83,80,0.322917
12,38,42,44,43,41.75,56,83,67,68.67,-350.00,410,26.92,80,0.336458
12.5,38,43,44,43,42.00,56,54,67,59.00,-325.00,435,17.00,80,0.212500
13,39,44,47,45,43.75,57,84,70,70.33,-300.00,460,26.58,80,0.332292
13.5,42,45,51,45,45.75,54,86,70,70.00,-300.00,460,24.25,80,0.303125
14,43,46,51,45,46.25,56,87,72,71.67,-300.00,460,25.42,80,0.317708
14.5,42,47,51,46,46.50,59,89,74,74.00,-275.00,485,27.50,80,0.343750
15,42,47,53,48,47.50,61,88,74,74.33,-250.00,510,26.83,80,0.335417
15.5,43,49,55,49,49.00,63,90,76,76.33,-250.00,510,27.33,80,0.341667
16,44,51,56,49,50.00,64,91,77,77.33,-200.00,560,27.33,80,0.341667
16.5,43,53,58,49,50.75,64,91,77,77.33,-200.00,560,26.58,80,0.332292
17,44,54,59,52,52.25,66,92,79,79.00,-200.00,560,26.75,80,0.334375
17.5,45,56,61,52,53.50,66,93,80,79.67,-175.00,585,26.17,80,0.327083
18,45,57,64,54,55.00,68,94,81,81.00,-150.00,610,26.00,80,0.325000
18.5,46,58,64,56,56.00,68,94,81,81.00,-150.00,610,25.00,80,0.312500
19,46,59,63,60,57.00,62,94,81,79.00,-150.00,610,22.00,80,0.275000
19.5,51,60,67,63,60.25,66,94,82,80.67,-150.00,610,20.42,80,0.255208
20,50,59,68,64,60.25,68,94,83,81.67,-125.00,635,21.42,80,0.267708
20.5,49,61,68,63,60.25,69,95,84,82.67,-125.00,635,22.42,80,0.280208
21,50,62,69,64,61.25,71,95,85,83.67,-100.00,660,22.42,80,0.280208
21.5,50,63,69,63,61.25,71,95,85,83.67,-100.00,660,22.42,80,0.280208
22,50,64,69,65,62.00,73,96,86,85.00,-100.00,660,23.00,80,0.287500
22.5,50,64,71,67,63.00,73,96,86,85.00,-100.00,660,22.00,80,0.275000
23,50,63,74,70,64.25,74,96,87,85.67,-100.00,660,21.42,80,0.267708
23.5,51,63,73,73,65.00,71,97,87,85.00,-75.00,685,20.00,80,0.250000
24,51,66,77,75,67.25,75,98,88,87.00,-75.00,685,19.75,80,0.246875
24.5,52,66,79,75,68.00,76,98,89,87.67,-50.00,710,19.67,80,0.245833
25,52,67,77,76,68.00,76,98,89,87.67,-50.00,710,19.67,80,0.245833
25.5,53,69,78,77,69.25,76,98,89,87.67,-25.00,735,18.42,80,0.230208
26,53,70,78,76,69.25,77,98,84,86.33,-25.00,735,17.08,80,0.213542
26.5,55,75,81,72,70.75,77,98,87,87.33,0.00,760,16.58,80,0.207292
27,56,74,79,71,70.00,77,98,88,87.67,0.00,760,17.67,80,0.220833
27.5,55,74,80,71,70.00,77,98,79,84.67,0.00,760,14.67,80,0.183333
28,56,74,81,71,70.50,78,99,90,89.00,0.00,760,18.50,80,0.231250
28.5,56,75,81,71,70.75,78,98,90,88.67,0.00,760,17.92,80,0.223958
29,57,75,81,72,71.25,79,98,90,89.00,0.00,760,17.75,80,0.221875
29.5,57,75,83,72,71.75,79,98,91,89.33,0.00,760,17.58,80,0.219792
30,57,76,84,72,72.25,79,99,91,89.67,0.00,760,17.42,80,0.217708
30.5,53,77,85,72,71.75,79,99,92,90.00,0.00,760,18.25,80,0.228125
31,57,77,84,73,72.75,79,99,92,90.00,0.00,760,17.25,80,0.215625
31.5,57,78,86,72,73.25,77,99,92,89.33,0.00,760,16.08,80,0.201042
32,89,78,88,73,82.00,80,99,92,90.33,0.00,760,8.33,80,0.104167
32.5,59,79,89,73,75.00,80,102,93,91.67,0.05,797,16.67,80,0.208333
33,59,78,88,72,74.25,80,99,92,90.33,0.05,798,16.08,80,0.201042
33.5,60,78,89,73,75.00,80,99,93,90.67,0.05,799,15.67,80,0.195833
34,60,82,91,73,76.50,80,99,94,91.00,0.05,800,14.50,80,0.181250
34.5,61,81,91,74,76.75,80,100,94,91.33,0.05,801,14.58,80,0.182292
35,60,80,91,74,76.25,80,100,94,91.33,0.05,802,15.08,80,0.188542
35.5,59,81,92,74,76.50,80,100,94,91.33,0.05,803,14.83,80,0.185417
36,59,80,92,74,76.25,81,100,94,91.67,0.05,804,15.42,80,0.192708
36.5,60,81,82,74,74.25,81,102,94,92.33,0.05,805,18.08,80,0.226042
37,60,81,94,74,77.25,81,104,94,93.00,0.05,806,15.75,80,0.196875
37.5,59,81,95,74,77.25,81,102,94,92.33,0.10,844,15.08,80,0.188542
38,59,82,96,74,77.75,81,103,95,93.00,0.10,845,15.25,80,0.190625
38.5,59,81,96,74,77.50,81,105,95,93.67,0.10,846,16.17,80,0.202083
39,59,82,96,75,78.00,81,101,95,92.33,0.10,847,14.33,80,0.179167
