Time (Min),Condenser 1 (oC),Condenser 2 (oC),Condenser 3 (oC),Condenser 4 (oC),Tc - AVG 1&2 (oC),Evaporator 1 (oC),Evaporator 2 (oC),Evaporator 3 (oC),Evaporator 4 (oC),Evaporator 5 (oC),"Te - AVG 1,2,3 (oC)",Pressure (mm of Hg),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,28,27,27,27,27.25,27,27,27,28,28,27.33,-475.00,285,0.08,80,0.001042
0.5,28,27,27,27,27.25,27,27,28,28,28,27.33,-475.00,285,0.08,80,0.001042
1,28,28,27,27,27.50,28,28,28,28,28,28.00,-475.00,285,0.50,80,0.006250
1.5,28,28,27,28,27.75,28,29,30,30,29,28.67,-475.00,285,0.92,80,0.011458
2,28,28,28,28,28.00,29,31,32,32,30,30.00,-475.00,285,2.00,80,0.025000
2.5,28,29,28,29,28.50,30,33,34,34,32,31.67,-475.00,285,3.17,80,0.039583
3,29,30,29,30,29.50,32,35,36,36,33,33.33,-475.00,285,3.83,80,0.047917
3.5,29,31,29,31,30.00,33,37,38,39,35,35.00,-475.00,285,5.00,80,0.062500
4,30,32,30,32,31.00,33,39,41,41,36,36.00,-475.00,285,5.00,80,0.062500
4.5,31,32,31,32,31.50,33,40,43,44,38,37.00,-475.00,285,5.50,80,0.068750
5,31,34,32,33,32.50,35,42,45,46,40,39.00,-475.00,285,6.50,80,0.081250
5.5,31,35,32,34,33.00,37,44,47,48,42,41.00,-450.00,310,8.00,80,0.100000
6,31,36,33,36,34.00,39,46,50,50,43,42.67,-450.00,310,8.67,80,0.108333
6.5,31,36,34,36,34.25,40,48,52,52,44,44.00,-450.00,310,9.75,80,0.121875
7,32,38,35,37,35.50,42,50,54,54,46,46.00,-450.00,310,10.50,80,0.131250
7.5,32,39,36,38,36.25,43,52,56,56,47,47.33,-450.00,310,11.08,80,0.138542
8,33,40,37,39,37.25,44,53,57,58,48,48.33,-450.00,310,11.08,80,0.138542
8.5,33,40,37,40,37.50,45,55,59,60,50,50.00,-450.00,310,12.50,80,0.156250
9,34,42,38,41,38.75,46,56,61,62,51,51.00,-425.00,335,12.25,80,0.153125
9.5,34,42,39,42,39.25,47,58,62,64,52,52.33,-425.00,335,13.08,80,0.163542
10,34,43,40,43,40.00,48,59,64,67,53,53.33,-425.00,335,13.33,80,0.166667
10.5,35,44,40,44,40.75,49,61,65,69,55,55.00,-425.00,335,14.25,80,0.178125
11,35,44,41,44,41.00,50,62,66,70,56,56.00,-400.00,360,15.00,80,0.187500
11.5,36,46,42,45,42.25,51,63,68,71,57,57.00,-400.00,360,14.75,80,0.184375
12,36,46,42,46,42.50,52,65,69,73,58,58.33,-400.00,360,15.83,80,0.197917
12.5,36,47,42,47,43.00,53,66,70,74,59,59.33,-400.00,360,16.33,80,0.204167
13,37,48,43,48,44.00,54,67,72,75,60,60.33,-400.00,360,16.33,80,0.204167
13.5,38,49,44,48,44.75,54,68,73,76,61,61.00,-375.00,385,16.25,80,0.203125
14,38,49,45,49,45.25,55,70,74,77,62,62.33,-375.00,385,17.08,80,0.213542
14.5,38,50,45,50,45.75,56,70,75,78,62,62.67,-375.00,385,16.92,80,0.211458
15,38,50,46,50,46.00,56,71,76,78,63,63.33,-375.00,385,17.33,80,0.216667
15.5,39,51,46,51,46.75,57,72,77,79,64,64.33,-350.00,410,17.58,80,0.219792
16,40,51,47,52,47.50,58,72,78,79,64,64.67,-350.00,410,17.17,80,0.214583
16.5,40,52,47,52,47.75,58,73,79,80,65,65.33,-350.00,410,17.58,80,0.219792
17,40,53,48,54,48.75,59,74,80,81,66,66.33,-350.00,410,17.58,80,0.219792
17.5,40,53,48,54,48.75,60,74,81,82,67,67.00,-325.00,435,18.25,80,0.228125
18,41,54,49,55,49.75,60,74,81,83,68,67.33,-325.00,435,17.58,80,0.219792
18.5,41,54,49,56,50.00,61,75,82,84,68,68.00,-325.00,435,18.00,80,0.225000
19,41,55,49,56,50.25,62,76,83,85,69,69.00,-325.00,435,18.75,80,0.234375
19.5,41,56,49,57,50.75,62,76,84,86,70,69.33,-300.00,460,18.58,80,0.232292
20,42,56,49,57,51.00,63,76,84,86,70,69.67,-300.00,460,18.67,80,0.233333
20.5,42,57,50,58,51.75,63,77,85,87,71,70.33,-300.00,460,18.58,80,0.232292
21,45,59,50,59,53.25,61,74,86,88,72,69.00,-300.00,460,15.75,80,0.196875
21.5,43,60,51,60,53.50,63,77,87,89,73,71.00,-300.00,460,17.50,80,0.218750
22,43,60,51,60,53.50,64,77,87,90,73,71.33,-300.00,460,17.83,80,0.222917
22.5,43,60,51,60,53.50,64,77,88,90,73,71.33,-300.00,460,17.83,80,0.222917
23,43,60,52,60,53.75,65,78,88,91,74,72.33,-300.00,460,18.58,80,0.232292
23.5,43,61,52,61,54.25,65,79,89,91,74,72.67,-275.00,485,18.42,80,0.230208
24,44,61,53,61,54.75,66,79,89,92,74,73.00,-275.00,485,18.25,80,0.228125
24.5,44,61,53,61,54.75,66,80,90,93,75,73.67,-275.00,485,18.92,80,0.236458
25,45,62,53,61,55.25,66,80,90,93,75,73.67,-275.00,485,18.42,80,0.230208
25.5,45,62,54,62,55.75,67,80,91,94,76,74.33,-250.00,510,18.58,80,0.232292
26,46,62,54,62,56.00,67,80,91,94,76,74.33,-250.00,510,18.33,80,0.229167
