Time (Min),Condenser 1 (oC),Condenser 2 (oC),Condenser 3 (oC),Condenser 4 (oC),Tc - AVG 1&2 (oC),Evaporator 1 (oC),Evaporator 2 (oC),Evaporator 3 (oC),Evaporator 4 (oC),Evaporator 3 (oC),"Te - AVG 1,2,3 (oC)",Pressure (mm of Hg),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,29,31,30,30,30.00,34,42,43,42,36,37.33,-500.00,260,7.33,80,0.091667
0.5,30,32,32,30,31.00,35,45,46,45,37,39.00,-475.00,285,8.00,80,0.100000
1,30,33,33,31,31.75,37,47,48,47,39,41.00,-475.00,285,9.25,80,0.115625
1.5,30,34,34,32,32.50,38,49,50,50,41,42.67,-450.00,310,10.17,80,0.127083
2,31,35,35,33,33.50,39,52,53,52,42,44.33,-450.00,310,10.83,80,0.135417
2.5,34,36,36,34,35.00,38,51,55,55,44,44.33,-450.00,310,9.33,80,0.116667
3,33,36,36,36,35.25,40,52,59,56,44,45.33,-450.00,310,10.08,80,0.126042
3.5,32,37,37,37,35.75,42,55,62,56,45,47.33,-450.00,310,11.58,80,0.144792
4,33,39,39,39,37.50,44,57,59,60,48,49.67,-450.00,310,12.17,80,0.152083
4.5,33,41,40,41,38.75,46,59,61,58,51,52.00,-425.00,335,13.25,80,0.165625
5,34,42,41,42,39.75,47,61,63,63,52,53.33,-425.00,335,13.58,80,0.169792
5.5,34,42,42,43,40.25,48,63,64,65,53,54.67,-425.00,335,14.42,80,0.180208
6,34,43,43,43,40.75,49,64,66,68,54,55.67,-425.00,335,14.92,80,0.186458
6.5,35,44,43,44,41.50,50,66,67,70,55,57.00,-400.00,360,15.50,80,0.193750
7,35,44,44,45,42.00,51,67,69,71,56,58.00,-400.00,360,16.00,80,0.200000
7.5,36,46,45,46,43.25,52,68,70,72,58,59.33,-400.00,360,16.08,80,0.201042
8,40,45,45,45,43.75,52,70,71,72,58,60.00,-400.00,360,16.25,80,0.203125
8.5,41,46,46,46,44.75,53,71,72,75,58,60.67,-375.00,385,15.92,80,0.198958
9,41,46,47,47,45.25,54,72,72,75,60,62.00,-375.00,385,16.75,80,0.209375
9.5,42,47,48,47,46.00,55,73,73,77,60,62.67,-375.00,385,16.67,80,0.208333
10,42,47,49,48,46.50,55,74,73,78,61,63.33,-375.00,385,16.83,80,0.210417
10.5,43,48,50,49,47.50,56,75,74,78,62,64.33,-350.00,410,16.83,80,0.210417
11,43,49,51,50,48.25,57,76,75,77,64,65.67,-350.00,410,17.42,80,0.217708
11.5,44,49,53,51,49.25,57,77,76,77,64,66.00,-325.00,435,16.75,80,0.209375
12,45,50,54,52,50.25,58,76,78,79,65,66.33,-325.00,435,16.08,80,0.201042
12.5,46,51,54,53,51.00,58,77,78,80,66,67.00,-325.00,435,16.00,80,0.200000
13,46,52,56,53,51.75,59,77,78,82,67,67.67,-300.00,460,15.92,80,0.198958
13.5,46,52,58,54,52.50,60,78,78,85,68,68.67,-300.00,460,16.17,80,0.202083
14,47,53,60,55,53.75,60,78,79,83,68,68.67,-300.00,460,14.92,80,0.186458
14.5,47,53,61,56,54.25,61,79,79,85,69,69.67,-300.00,460,15.42,80,0.192708
15,48,54,63,57,55.50,61,79,80,86,70,70.00,-275.00,485,14.50,80,0.181250
15.5,48,55,63,57,55.75,62,80,80,86,71,71.00,-275.00,485,15.25,80,0.190625
16,48,55,64,58,56.25,62,80,80,86,72,71.33,-275.00,485,15.08,80,0.188542
