,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,310.15,307.9,2.25,0.4799603232799422,120.0,0.01875,90.0,0.0,1.0,-1892.8166010494526,-1879.0850603357296,-13.731540713723007
1,310.34999999999997,307.65,2.700000000000003,0.4799603232799422,120.0,0.022500000000000023,90.0,0.0,1.0,-1894.0371824462281,-1877.5593335897604,-16.477848856467745
2,310.95,307.65,3.299999999999997,0.4799603232799422,120.0,0.027499999999999976,90.0,0.0,1.0,-1897.6989266365545,-1877.5593335897604,-20.13959304679406
3,311.54999999999995,308.15,3.3999999999999986,0.4799603232799422,120.0,0.02833333333333332,90.0,0.0,1.0,-1901.3606708268806,-1880.6107870816988,-20.749883745181705
4,311.95,307.9,4.049999999999997,0.4799603232799422,120.0,0.033749999999999974,90.0,0.0,1.0,-1903.8018336204314,-1879.0850603357296,-24.71677328470173
5,312.34999999999997,308.15,4.200000000000003,0.4799603232799422,120.0,0.035000000000000024,90.0,0.0,1.0,-1906.2429964139824,-1880.6107870816988,-25.632209332283537
6,312.75,308.15,4.600000000000001,0.4799603232799422,120.0,0.038333333333333344,90.0,0.0,1.0,-1908.6841592075332,-1880.6107870816988,-28.07337212583434
7,312.95,308.4,4.549999999999997,0.4799603232799422,120.0,0.03791666666666664,90.0,0.0,1.0,-1909.9047406043087,-1882.1365138276678,-27.76822677664086
8,313.75,308.525,5.225000000000001,0.4799603232799422,120.0,0.04354166666666667,90.0,0.0,1.0,-1914.78706619141,-1882.8993772006525,-31.88768899075751
9,314.34999999999997,308.65,5.700000000000003,0.4799603232799422,120.0,0.04750000000000002,90.0,0.0,1.0,-1918.4488103817362,-1883.6622405736373,-34.786569808098875
10,314.54999999999995,308.65,5.899999999999999,0.4799603232799422,120.0,0.04916666666666666,90.0,0.0,1.0,-1919.6693917785115,-1883.6622405736373,-36.00715120487416
11,315.34999999999997,308.9,6.450000000000003,0.4799603232799422,120.0,0.05375000000000003,90.0,0.0,1.0,-1924.5517173656133,-1885.1879673196065,-39.36375004600677
12,315.54999999999995,308.9,6.649999999999999,0.4799603232799422,120.0,0.055416666666666656,90.0,0.0,1.0,-1925.7722987623883,-1885.1879673196065,-40.58433144278183
13,315.95,308.9,7.049999999999997,0.4799603232799422,120.0,0.058749999999999976,90.0,0.0,1.0,-1928.2134615559396,-1885.1879673196065,-43.02549423633309
14,316.15,309.15,7.0,0.4799603232799422,120.0,0.058333333333333334,90.0,0.0,1.0,-1929.4340429527147,-1886.7136940655757,-42.720348887138925
15,316.95,309.4,7.549999999999997,0.4799603232799422,120.0,0.06291666666666665,90.0,0.0,1.0,-1934.3163685398165,-1888.2394208115452,-46.07694772827131
16,317.15,308.9,8.25,0.4799603232799422,120.0,0.06875,90.0,0.0,1.0,-1935.5369499365916,-1885.1879673196065,-50.34898261698504
17,317.75,309.65,8.100000000000001,0.4799603232799422,120.0,0.06750000000000002,90.0,0.0,1.0,-1939.1986941269183,-1889.7651475575144,-49.433546569403916
18,317.95,309.65,8.299999999999997,0.4799603232799422,120.0,0.06916666666666664,90.0,0.0,1.0,-1940.4192755236934,-1889.7651475575144,-50.654127966178976
19,318.34999999999997,309.65,8.700000000000003,0.4799603232799422,120.0,0.07250000000000002,90.0,0.0,1.0,-1942.860438317244,-1889.7651475575144,-53.09529075972955
20,319.15,309.9,9.25,0.4799603232799422,120.0,0.07708333333333334,90.0,0.0,1.0,-1947.7427639043458,-1891.2908743034834,-56.45188960086239
21,319.75,309.9,9.850000000000001,0.4799603232799422,120.0,0.08208333333333334,90.0,0.0,1.0,-1951.404508094672,-1891.2908743034834,-60.113633791188704
22,320.34999999999997,310.15,10.200000000000003,0.4799603232799422,120.0,0.08500000000000002,90.0,0.0,1.0,-1955.0662522849982,-1892.8166010494526,-62.24965123554557
23,320.95,310.4,10.549999999999997,0.4799603232799422,120.0,0.08791666666666664,90.0,0.0,1.0,-1958.7279964753245,-1894.342327795422,-64.38566867990244
24,321.34999999999997,310.4,10.950000000000003,0.4799603232799422,120.0,0.09125000000000003,90.0,0.0,1.0,-1961.169159268875,-1894.342327795422,-66.82683147345301
25,321.95,310.9,11.049999999999997,0.4799603232799422,120.0,0.09208333333333331,90.0,0.0,1.0,-1964.8309034592014,-1897.3937812873608,-67.43712217184066
26,322.75,310.9,11.850000000000001,0.4799603232799422,120.0,0.09875000000000002,90.0,0.0,1.0,-1969.7132290463032,-1897.3937812873608,-72.31944775894249
27,322.95,310.9,12.049999999999997,0.4799603232799422,120.0,0.10041666666666664,90.0,0.0,1.0,-1970.9338104430785,-1897.3937812873608,-73.54002915571778
