,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
1,00:00:05,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
2,00:00:10,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
3,00:00:15,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
4,00:00:20,306.95,306.9,0.04999999999999716,0.4132991672688391,60,0.000833333333333286,90,0,1,-2254.889637083255,-2254.5223313922493,-0.36730569100564026
5,00:00:25,307.15,306.9,0.25,0.4132991672688391,60,0.004166666666666667,90,0,1,-2256.358859847277,-2254.5223313922493,-1.8365284550277465
6,00:00:30,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
7,00:00:35,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
8,00:00:40,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
9,00:00:45,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
10,00:00:50,307.15,306.9,0.25,0.4132991672688391,60,0.004166666666666667,90,0,1,-2256.358859847277,-2254.5223313922493,-1.8365284550277465
11,00:00:55,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
12,00:01:00,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
13,00:01:05,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
14,00:01:10,307.34999999999997,307.15,0.20000000000000284,0.4132991672688391,60,0.003333333333333381,90,0,1,-2257.8280826112996,-2256.358859847277,-1.469222764022561
15,00:01:15,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1,-2256.358859847277,-2256.358859847277,0.0
16,00:01:20,307.34999999999997,307.15,0.20000000000000284,0.4132991672688391,60,0.003333333333333381,90,0,1,-2257.8280826112996,-2256.358859847277,-1.469222764022561
17,00:01:25,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1,-2262.235750903367,-2256.358859847277,-5.876891056089789
18,00:01:30,307.75,307.15,0.6000000000000014,0.4132991672688391,60,0.010000000000000024,90,0,1,-2260.7665281393442,-2256.358859847277,-4.407668292067228
19,00:01:35,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1,-2262.235750903367,-2256.358859847277,-5.876891056089789
20,00:01:40,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1,-2262.235750903367,-2256.358859847277,-5.876891056089789
21,00:01:45,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1,-2266.643419195433,-2256.358859847277,-10.284559348156108
22,00:01:50,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1,-2266.643419195433,-2256.358859847277,-10.284559348156108
23,00:01:55,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1,-2266.643419195433,-2256.358859847277,-10.284559348156108
24,00:02:00,308.95,307.15,1.7999999999999972,0.4132991672688391,60,0.029999999999999954,90,0,1,-2269.5818647234782,-2256.358859847277,-13.22300487620123
25,00:02:05,308.75,307.15,1.6000000000000014,0.4132991672688391,60,0.02666666666666669,90,0,1,-2268.112641959456,-2256.358859847277,-11.753782112179124
26,00:02:10,309.34999999999997,307.15,2.200000000000003,0.4132991672688391,60,0.036666666666666715,90,0,1,-2272.520310251523,-2256.358859847277,-16.161450404245898
27,00:02:15,309.34999999999997,307.4,1.9500000000000028,0.4132991672688391,60,0.03250000000000005,90,0,1,-2272.520310251523,-2258.195388302305,-14.324921949217696
28,00:02:20,309.54999999999995,307.4,2.1499999999999986,0.4132991672688391,60,0.03583333333333331,90,0,1,-2273.9895330155446,-2258.195388302305,-15.794144713239348
29,00:02:25,309.75,307.4,2.3500000000000014,0.4132991672688391,60,0.03916666666666669,90,0,1,-2275.4587557795676,-2258.195388302305,-17.263367477262364
30,00:02:30,310.15,307.4,2.75,0.4132991672688391,60,0.04583333333333333,90,0,1,-2278.397201307612,-2258.195388302305,-20.201813005306576
31,00:02:35,310.34999999999997,307.4,2.950000000000003,0.4132991672688391,60,0.04916666666666671,90,0,1,-2279.8664240716344,-2258.195388302305,-21.671035769329137
32,00:02:40,310.34999999999997,307.4,2.950000000000003,0.4132991672688391,60,0.04916666666666671,90,0,1,-2279.8664240716344,-2258.195388302305,-21.671035769329137
33,00:02:45,310.54999999999995,307.4,3.1499999999999986,0.4132991672688391,60,0.05249999999999998,90,0,1,-2281.3356468356565,-2258.195388302305,-23.140258533351243
34,00:02:50,310.54999999999995,307.4,3.1499999999999986,0.4132991672688391,60,0.05249999999999998,90,0,1,-2281.3356468356565,-2258.195388302305,-23.140258533351243
35,00:02:55,310.95,307.65,3.299999999999997,0.4132991672688391,60,0.05499999999999995,90,0,1,-2284.2740923637016,-2260.031916757333,-24.24217560636862
36,00:03:00,311.15,307.65,3.5,0.4132991672688391,60,0.058333333333333334,90,0,1,-2285.7433151277237,-2260.031916757333,-25.711398370390725
37,00:03:05,311.15,307.65,3.5,0.4132991672688391,60,0.058333333333333334,90,0,1,-2285.7433151277237,-2260.031916757333,-25.711398370390725
38,00:03:10,311.75,307.9,3.8500000000000014,0.4132991672688391,60,0.06416666666666669,90,0,1,-2290.150983419791,-2261.868445212361,-28.282538207429752
