,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
0,00:00:00,30.4,29.75,285.0,120,90,0,1
1,00:00:05,30.4,29.5,285.0,120,90,0,1
2,00:00:10,30.4,29.5,285.0,120,90,0,1
3,00:00:15,30.4,29.5,285.0,120,90,0,1
4,00:00:20,30.4,29.5,285.0,120,90,0,1
5,00:00:25,30.4,29.5,285.0,120,90,0,1
6,00:00:30,30.4,29.5,285.0,120,90,0,1
7,00:00:35,30.4,29.5,285.0,120,90,0,1
8,00:00:40,30.6,29.75,285.0,120,90,0,1
9,00:00:45,30.6,29.75,285.0,120,90,0,1
10,00:00:50,30.6,29.5,285.0,120,90,0,1
11,00:00:55,30.8,29.5,285.0,120,90,0,1
12,00:01:00,30.8,29.5,285.0,120,90,0,1
13,00:01:05,31.4,29.5,285.0,120,90,0,1
14,00:01:10,31.6,29.5,285.0,120,90,0,1
15,00:01:15,31.6,29.75,285.0,120,90,0,1
16,00:01:20,32.2,29.75,285.0,120,90,0,1
17,00:01:25,32.4,30.0,285.0,120,90,0,1
18,00:01:30,32.6,30.0,285.0,120,90,0,1
19,00:01:35,33.2,30.0,285.0,120,90,0,1
20,00:01:40,33.4,30.0,285.0,120,90,0,1
21,00:01:45,33.4,30.0,285.0,120,90,0,1
22,00:01:50,34.0,30.0,285.0,120,90,0,1
23,00:01:55,34.4,30.0,285.0,120,90,0,1
24,00:02:00,35.0,30.0,285.0,120,90,0,1
25,00:02:05,35.0,30.0,285.0,120,90,0,1
26,00:02:10,35.8,30.0,285.0,120,90,0,1
27,00:02:15,36.4,30.25,285.0,120,90,0,1
28,00:02:20,36.6,30.5,285.0,120,90,0,1
29,00:02:25,37.0,30.5,285.0,120,90,0,1
30,00:02:30,36.4,29.5,285.0,120,90,0,1
31,00:02:35,37.0,29.5,285.0,120,90,0,1
32,00:02:40,37.2,29.75,285.0,120,90,0,1
33,00:02:45,38.0,29.75,285.0,120,90,0,1
34,00:02:50,38.2,29.75,285.0,120,90,0,1
35,00:02:55,39.0,29.75,285.0,120,90,0,1
36,00:03:00,39.4,29.75,285.0,120,90,0,1
37,00:03:05,39.6,30.0,285.0,120,90,0,1
38,00:03:10,40.6,30.25,285.0,120,90,0,1
39,00:03:15,40.8,30.75,285.0,120,90,0,1
40,00:03:20,42.4,31.75,285.0,120,90,0,1
41,00:03:25,42.6,31.75,285.0,120,90,0,1
42,00:03:30,43.4,31.75,285.0,120,90,0,1
43,00:03:35,43.4,31.75,285.0,120,90,0,1
44,00:03:40,44.2,31.75,285.0,120,90,0,1
45,00:03:45,44.8,32.0,285.0,120,90,0,1
46,00:03:50,45.2,32.0,285.0,120,90,0,1
47,00:03:55,45.6,32.0,285.0,120,90,0,1
48,00:04:00,46.0,32.5,310.0,120,90,0,1
49,00:04:05,46.8,32.75,310.0,120,90,0,1
50,00:04:10,47.2,32.75,310.0,120,90,0,1
51,00:04:15,47.6,33.0,310.0,120,90,0,1
52,00:04:20,48.2,33.0,310.0,120,90,0,1
53,00:04:25,48.6,33.0,310.0,120,90,0,1
54,00:04:30,49.0,33.0,310.0,120,90,0,1
55,00:04:35,49.8,33.5,310.0,120,90,0,1
56,00:04:40,50.4,33.75,310.0,120,90,0,1
57,00:04:45,50.6,33.75,310.0,120,90,0,1
58,00:04:50,51.4,33.75,310.0,120,90,0,1
59,00:04:55,50.8,33.5,310.0,120,90,0,1
60,00:05:00,51.2,33.5,310.0,120,90,0,1
61,00:05:05,52.6,34.75,310.0,120,90,0,1
62,00:05:10,53.2,34.75,310.0,120,90,0,1
63,00:05:15,53.6,34.75,310.0,120,90,0,1
64,00:05:20,54.2,34.75,310.0,120,90,0,1
65,00:05:25,55.0,35.0,310.0,120,90,0,1
66,00:05:30,55.4,35.25,335.0,120,90,0,1
67,00:05:35,56.2,35.75,760.0,120,90,0,1
68,00:05:40,56.4,35.75,760.0,120,90,0,1
69,00:05:45,57.2,35.75,760.0,120,90,0,1
70,00:05:50,57.6,36.25,760.0,120,90,0,1
71,00:05:55,57.8,36.5,760.0,120,90,0,1
72,00:06:00,58.2,36.5,760.0,120,90,0,1
73,00:06:05,58.4,36.5,760.0,120,90,0,1
74,00:06:10,59.2,36.5,760.0,120,90,0,1
75,00:06:15,59.2,37.0,760.0,120,90,0,1
76,00:06:20,59.6,37.5,760.0,120,90,0,1
77,00:06:25,59.8,37.5,360.0,120,90,0,1
78,00:06:30,60.6,37.5,360.0,120,90,0,1
79,00:06:35,61.4,37.5,360.0,120,90,0,1
80,00:06:40,61.8,38.0,360.0,120,90,0,1
81,00:06:45,62.4,38.25,360.0,120,90,0,1
82,00:06:50,62.6,38.5,360.0,120,90,0,1
83,00:06:55,62.8,38.5,360.0,120,90,0,1
84,00:07:00,63.8,38.5,360.0,120,90,0,1
85,00:07:05,64.2,39.0,360.0,120,90,0,1
86,00:07:10,64.6,39.25,360.0,120,90,0,1
87,00:07:15,64.8,39.25,360.0,120,90,0,1
88,00:07:20,65.2,39.5,385.0,120,90,0,1
89,00:07:25,65.8,39.75,385.0,120,90,0,1
90,00:07:30,65.6,39.75,385.0,120,90,0,1
91,00:07:35,66.4,40.25,385.0,120,90,0,1
92,00:07:40,66.8,40.25,385.0,120,90,0,1
93,00:07:45,66.6,40.5,385.0,120,90,0,1
94,00:07:50,67.2,40.75,410.0,120,90,0,1
95,00:07:55,67.8,40.75,410.0,120,90,0,1
96,00:08:00,68.4,41.0,410.0,120,90,0,1
97,00:08:05,68.8,41.25,410.0,120,90,0,1
98,00:08:10,69.4,41.25,410.0,120,90,0,1
99,00:08:15,70.0,41.75,410.0,120,90,0,1
100,00:08:20,70.4,41.75,410.0,120,90,0,1
101,00:08:25,71.2,41.75,410.0,120,90,0,1
102,00:08:30,71.6,42.5,410.0,120,90,0,1
103,00:08:35,71.8,42.5,410.0,120,90,0,1
104,00:08:40,72.0,42.5,435.0,120,90,0,1
105,00:08:45,72.2,42.5,435.0,120,90,0,1
106,00:08:50,72.6,43.0,435.0,120,90,0,1
107,00:08:55,73.2,42.75,435.0,120,90,0,1
108,00:09:00,73.4,42.5,435.0,120,90,0,1
109,00:09:05,73.6,42.75,435.0,120,90,0,1
110,00:09:10,73.6,42.75,435.0,120,90,0,1
111,00:09:15,73.4,43.25,460.0,120,90,0,1
112,00:09:20,74.0,43.25,460.0,120,90,0,1
113,00:09:25,74.6,43.5,460.0,120,90,0,1
114,00:09:30,74.4,43.5,460.0,120,90,0,1
115,00:09:35,75.0,43.5,460.0,120,90,0,1
116,00:09:40,75.2,43.5,460.0,120,90,0,1
117,00:09:45,75.4,44.0,460.0,120,90,0,1
118,00:09:50,76.2,44.25,460.0,120,90,0,1
119,00:09:55,76.4,44.5,460.0,120,90,0,1
120,00:10:00,76.4,45.0,460.0,120,90,0,1
121,00:10:05,77.0,45.0,460.0,120,90,0,1
122,00:10:10,77.2,45.0,485.0,120,90,0,1
123,00:10:15,77.4,45.0,485.0,120,90,0,1
124,00:10:20,78.0,45.0,485.0,120,90,0,1
125,00:10:25,78.0,45.5,485.0,120,90,0,1
126,00:10:30,78.8,45.5,485.0,120,90,0,1
127,00:10:35,79.2,45.5,485.0,120,90,0,1
128,00:10:40,79.2,45.5,485.0,120,90,0,1
129,00:10:45,79.4,46.0,485.0,120,90,0,1
130,00:10:50,80.0,46.5,485.0,120,90,0,1
131,00:10:55,80.2,46.5,485.0,120,90,0,1
132,00:11:00,80.6,46.5,485.0,120,90,0,1
133,00:11:05,80.6,46.5,510.0,120,90,0,1
134,00:11:10,80.8,47.5,510.0,120,90,0,1
135,00:11:15,80.8,47.5,510.0,120,90,0,1
136,00:11:20,81.0,47.75,510.0,120,90,0,1
137,00:11:25,81.6,48.25,510.0,120,90,0,1
138,00:11:30,81.8,48.5,510.0,120,90,0,1
139,00:11:35,82.6,48.5,510.0,120,90,0,1
140,00:11:40,82.6,48.5,510.0,120,90,0,1
141,00:11:45,82.8,49.0,510.0,120,90,0,1
142,00:11:50,83.2,49.0,510.0,120,90,0,1
143,00:11:55,83.2,49.0,535.0,120,90,0,1
144,00:12:00,83.2,49.5,535.0,120,90,0,1
145,00:12:05,83.6,48.75,535.0,120,90,0,1
146,00:12:10,81.6,51.5,535.0,120,90,0,1
