,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase
0,00:00:00,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
1,00:00:05,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
2,00:00:10,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
3,00:00:15,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
4,00:00:20,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
5,00:00:25,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
6,00:00:30,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
7,00:00:35,301.15,301.15,0.0,0.4132991672688391,40,0.0,90,0,1
8,00:00:40,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
9,00:00:45,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
10,00:00:50,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
11,00:00:55,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
12,00:01:00,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
13,00:01:05,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
14,00:01:10,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
15,00:01:15,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
16,00:01:20,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
17,00:01:25,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1
18,00:01:30,302.65,302.15,0.5,0.4132991672688391,40,0.0125,90,0,1
19,00:01:35,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1
20,00:01:40,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1
21,00:01:45,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1
22,00:01:50,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1
23,00:01:55,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1
24,00:02:00,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1
25,00:02:05,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1
26,00:02:10,303.4,302.15,1.25,0.4132991672688391,40,0.03125,90,0,1
27,00:02:15,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1
28,00:02:20,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1
29,00:02:25,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1
