,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
1,00:00:05,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
2,00:00:10,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
3,00:00:15,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
4,00:00:20,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
5,00:00:25,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
6,00:00:30,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
7,00:00:35,301.15,301.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2212.2821769266075,-2212.2821769266075,0.0
8,00:00:40,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
9,00:00:45,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
10,00:00:50,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
11,00:00:55,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
12,00:01:00,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
13,00:01:05,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
14,00:01:10,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
15,00:01:15,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
16,00:01:20,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
17,00:01:25,302.15,302.15,0.0,0.4132991672688391,40,0.0,90,0,1,-2219.6282907467194,-2219.6282907467194,0.0
18,00:01:30,302.65,302.15,0.5,0.4132991672688391,40,0.0125,90,0,1,-2223.301347656775,-2219.6282907467194,-3.673056910055493
19,00:01:35,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1,-2225.137876111803,-2219.6282907467194,-5.509585365083694
20,00:01:40,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1,-2225.137876111803,-2219.6282907467194,-5.509585365083694
21,00:01:45,302.9,302.15,0.75,0.4132991672688391,40,0.01875,90,0,1,-2225.137876111803,-2219.6282907467194,-5.509585365083694
22,00:01:50,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1,-2226.974404566831,-2219.6282907467194,-7.346113820111441
23,00:01:55,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1,-2226.974404566831,-2219.6282907467194,-7.346113820111441
24,00:02:00,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1,-2226.974404566831,-2219.6282907467194,-7.346113820111441
25,00:02:05,303.15,302.15,1.0,0.4132991672688391,40,0.025,90,0,1,-2226.974404566831,-2219.6282907467194,-7.346113820111441
26,00:02:10,303.4,302.15,1.25,0.4132991672688391,40,0.03125,90,0,1,-2228.810933021859,-2219.6282907467194,-9.182642275139642
27,00:02:15,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1,-2230.6474614768867,-2219.6282907467194,-11.019170730167389
28,00:02:20,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1,-2230.6474614768867,-2219.6282907467194,-11.019170730167389
29,00:02:25,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1,-2230.6474614768867,-2219.6282907467194,-11.019170730167389
30,00:02:30,303.65,302.15,1.5,0.4132991672688391,40,0.0375,90,0,1,-2230.6474614768867,-2219.6282907467194,-11.019170730167389
31,00:02:35,304.4,302.15,2.25,0.4132991672688391,40,0.05625,90,0,1,-2236.1570468419704,-2219.6282907467194,-16.528756095251083
32,00:02:40,304.65,302.15,2.5,0.4132991672688391,40,0.0625,90,0,1,-2237.993575296998,-2219.6282907467194,-18.36528455027883
33,00:02:45,304.65,302.15,2.5,0.4132991672688391,40,0.0625,90,0,1,-2237.993575296998,-2219.6282907467194,-18.36528455027883
34,00:02:50,304.65,302.4,2.25,0.4132991672688391,40,0.05625,90,0,1,-2237.993575296998,-2221.464819201747,-16.528756095251083
35,00:02:55,304.65,302.4,2.25,0.4132991672688391,40,0.05625,90,0,1,-2237.993575296998,-2221.464819201747,-16.528756095251083
36,00:03:00,304.65,302.65,2.0,0.4132991672688391,40,0.05,90,0,1,-2237.993575296998,-2223.301347656775,-14.692227640223336
37,00:03:05,305.4,302.65,2.75,0.4132991672688391,40,0.06875,90,0,1,-2243.503160662082,-2223.301347656775,-20.20181300530703
38,00:03:10,305.4,302.65,2.75,0.4132991672688391,40,0.06875,90,0,1,-2243.503160662082,-2223.301347656775,-20.20181300530703
39,00:03:15,305.65,302.65,3.0,0.4132991672688391,40,0.075,90,0,1,-2245.3396891171096,-2223.301347656775,-22.038341460334777
40,00:03:20,305.65,302.65,3.0,0.4132991672688391,40,0.075,90,0,1,-2245.3396891171096,-2223.301347656775,-22.038341460334777
41,00:03:25,305.9,302.65,3.25,0.4132991672688391,40,0.08125,90,0,1,-2247.176217572138,-2223.301347656775,-23.87486991536298
42,00:03:30,306.15,302.65,3.5,0.4132991672688391,40,0.0875,90,0,1,-2249.0127460271656,-2223.301347656775,-25.711398370390725
43,00:03:35,306.4,302.65,3.75,0.4132991672688391,40,0.09375,90,0,1,-2250.849274482194,-2223.301347656775,-27.547926825418926
44,00:03:40,306.4,302.65,3.75,0.4132991672688391,40,0.09375,90,0,1,-2250.849274482194,-2223.301347656775,-27.547926825418926
45,00:03:45,306.4,302.65,3.75,0.4132991672688391,40,0.09375,90,0,1,-2250.849274482194,-2223.301347656775,-27.547926825418926
46,00:03:50,306.4,302.65,3.75,0.4132991672688391,40,0.09375,90,0,1,-2250.849274482194,-2223.301347656775,-27.547926825418926
47,00:03:55,306.4,302.65,3.75,0.4132991672688391,40,0.09375,90,0,1,-2250.849274482194,-2223.301347656775,-27.547926825418926
48,00:04:00,306.9,302.65,4.25,0.4132991672688391,40,0.10625,90,0,1,-2254.5223313922493,-2223.301347656775,-31.22098373547442
49,00:04:05,306.9,302.9,4.0,0.4132991672688391,40,0.1,90,0,1,-2254.5223313922493,-2225.137876111803,-29.38445528044622
