,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,310.54999999999995,302.65,7.899999999999999,0.4132991672688391,80.0,0.09874999999999998,90.0,0.0,1.0,-2281.3356468356565,-2223.301347656775,-58.03429917888161
1,310.75,302.65,8.100000000000001,0.4132991672688391,80.0,0.10125000000000002,90.0,0.0,1.0,-2282.804869599679,-2223.301347656775,-59.50352194290417
2,311.54999999999995,302.775,8.774999999999999,0.4132991672688391,80.0,0.1096875,90.0,0.0,1.0,-2288.681760655768,-2224.219611884289,-64.46214877147895
3,311.75,303.15,8.600000000000001,0.4132991672688391,80.0,0.10750000000000001,90.0,0.0,1.0,-2290.150983419791,-2226.974404566831,-63.17657885296012
4,312.15,303.4,8.75,0.4132991672688391,80.0,0.109375,90.0,0.0,1.0,-2293.089428947835,-2228.810933021859,-64.27849592597613
5,312.34999999999997,303.4,8.950000000000003,0.4132991672688391,80.0,0.11187500000000003,90.0,0.0,1.0,-2294.5586517118577,-2228.810933021859,-65.74771868999869
6,312.75,303.65,9.100000000000001,0.4132991672688391,80.0,0.11375000000000002,90.0,0.0,1.0,-2297.4970972399024,-2230.6474614768867,-66.84963576301561
7,313.34999999999997,303.65,9.700000000000003,0.4132991672688391,80.0,0.12125000000000004,90.0,0.0,1.0,-2301.904765531969,-2230.6474614768867,-71.25730405508239
8,313.54999999999995,303.65,9.899999999999999,0.4132991672688391,80.0,0.12374999999999999,90.0,0.0,1.0,-2303.3739882959912,-2230.6474614768867,-72.72652681910449
9,313.75,303.65,10.100000000000001,0.4132991672688391,80.0,0.12625000000000003,90.0,0.0,1.0,-2304.843211060014,-2230.6474614768867,-74.19574958312705
10,314.34999999999997,303.65,10.700000000000003,0.4132991672688391,80.0,0.13375000000000004,90.0,0.0,1.0,-2309.2508793520806,-2230.6474614768867,-78.60341787519383
11,314.54999999999995,303.65,10.899999999999999,0.4132991672688391,80.0,0.13624999999999998,90.0,0.0,1.0,-2310.7201021161027,-2230.6474614768867,-80.07264063921593
12,314.95,303.9,11.049999999999997,0.4132991672688391,80.0,0.13812499999999997,90.0,0.0,1.0,-2313.658547644148,-2232.4839899319145,-81.17455771223331
13,315.15,304.2333333333333,10.916666666666666,0.4132991672688391,80.0,0.13645833333333332,90.0,0.0,1.0,-2315.12777040817,-2234.9326945386183,-80.19507586955145
14,316.15,304.4,11.75,0.4132991672688391,80.0,0.146875,90.0,0.0,1.0,-2322.4738842282813,-2236.1570468419704,-86.31683738631091
15,316.34999999999997,304.4,11.950000000000003,0.4132991672688391,80.0,0.14937500000000004,90.0,0.0,1.0,-2323.943106992304,-2236.1570468419704,-87.78606015033347
16,316.75,304.4,12.350000000000001,0.4132991672688391,80.0,0.154375,90.0,0.0,1.0,-2326.8815525203486,-2236.1570468419704,-90.72450567837814
17,316.95,304.65,12.299999999999997,0.4132991672688391,80.0,0.15374999999999997,90.0,0.0,1.0,-2328.350775284371,-2237.993575296998,-90.35719998737295
18,317.15,304.65,12.5,0.4132991672688391,80.0,0.15625,90.0,0.0,1.0,-2329.819998048393,-2237.993575296998,-91.8264227513946
19,317.54999999999995,304.9,12.649999999999999,0.4132991672688391,80.0,0.158125,90.0,0.0,1.0,-2332.758443576438,-2239.8301037520264,-92.92833982441152
20,318.15,304.9,13.25,0.4132991672688391,80.0,0.165625,90.0,0.0,1.0,-2337.1661118685047,-2239.8301037520264,-97.3360081164783
21,318.34999999999997,305.15,13.200000000000003,0.4132991672688391,80.0,0.16500000000000004,90.0,0.0,1.0,-2338.635334632527,-2241.666632207054,-96.96870242547266
22,318.95,305.15,13.799999999999997,0.4132991672688391,80.0,0.17249999999999996,90.0,0.0,1.0,-2343.043002924594,-2241.666632207054,-101.37637071753988
23,319.34999999999997,305.15,14.200000000000003,0.4132991672688391,80.0,0.17750000000000005,90.0,0.0,1.0,-2345.9814484526387,-2241.666632207054,-104.31481624558455
24,319.54999999999995,305.4,14.149999999999999,0.4132991672688391,80.0,0.17687499999999998,90.0,0.0,1.0,-2347.450671216661,-2243.503160662082,-103.94751055457891
25,319.95,305.4,14.549999999999997,0.4132991672688391,80.0,0.18187499999999995,90.0,0.0,1.0,-2350.389116744706,-2243.503160662082,-106.88595608262403
26,320.34999999999997,305.4,14.950000000000003,0.44662974527439064,80.0,0.18687500000000004,90.0,0.0,1.0,-2146.7597442541146,-2046.5753890907026,-100.18435516341196
27,320.54999999999995,305.65,14.899999999999999,0.44662974527439064,80.0,0.18624999999999997,90.0,0.0,1.0,-2148.1000031860667,-2048.250712755643,-99.84929043042393
28,320.75,306.15,14.600000000000001,0.44662974527439064,80.0,0.18250000000000002,90.0,0.0,1.0,-2149.440262118019,-2051.6013600855226,-97.83890203249621
29,321.34999999999997,306.15,15.200000000000003,0.44662974527439064,80.0,0.19000000000000003,90.0,0.0,1.0,-2153.4610389138743,-2051.6013600855226,-101.85967882835166
30,321.54999999999995,306.15,15.399999999999999,0.44662974527439064,80.0,0.19249999999999998,90.0,0.0,1.0,-2154.8012978458264,-2051.6013600855226,-103.19993776030378
31,322.15,306.15,16.0,0.44662974527439064,80.0,0.2,90.0,0.0,1.0,-2158.822074641683,-2051.6013600855226,-107.22071455616015
32,322.34999999999997,306.4,15.950000000000003,0.44662974527439064,80.0,0.19937500000000002,90.0,0.0,1.0,-2160.162333573635,-2053.276683750463,-106.88564982317212
33,322.54999999999995,306.4,16.15,0.44662974527439064,80.0,0.20187499999999997,90.0,0.0,1.0,-2161.5025925055866,-2053.276683750463,-108.22590875512378
34,322.75,306.4,16.35,0.44662974527439064,80.0,0.20437500000000003,90.0,0.0,1.0,-2162.8428514375387,-2053.276683750463,-109.5661676870759
35,323.15,306.4,16.75,0.44662974527439064,80.0,0.209375,90.0,0.0,1.0,-2165.5233693014425,-2053.276683750463,-112.24668555097969
36,323.54999999999995,306.9,16.65,0.44662974527439064,80.0,0.20812499999999998,90.0,0.0,1.0,-2168.2038871653467,-2056.6273310803426,-111.57655608500409
37,323.95,307.15,16.799999999999997,0.44662974527439064,80.0,0.20999999999999996,90.0,0.0,1.0,-2170.884405029251,-2058.302654745283,-112.58175028396818
38,324.15,307.15,17.0,0.44662974527439064,80.0,0.2125,90.0,0.0,1.0,-2172.2246639612026,-2058.302654745283,-113.92200921591984
39,324.54999999999995,307.275,17.275,0.44662974527439064,80.0,0.21593749999999998,90.0,0.0,1.0,-2174.9051818251064,-2059.140316577753,-115.76486524735355
40,324.75,307.65,17.1,0.44662974527439064,80.0,0.21375000000000002,90.0,0.0,1.0,-2176.245440757059,-2061.6533020751626,-114.59213868189636
41,324.95,307.9,17.049999999999997,0.44662974527439064,80.0,0.21312499999999995,90.0,0.0,1.0,-2177.5856996890107,-2063.328625740103,-114.25707394890787
42,325.34999999999997,307.9,17.450000000000003,0.44662974527439064,80.0,0.21812500000000004,90.0,0.0,1.0,-2180.266217552915,-2063.328625740103,-116.93759181281212
43,325.54999999999995,307.9,17.65,0.4799603232799422,80.0,0.220625,90.0,0.0,1.0,-1986.8013686011584,-1879.0850603357296,-107.71630826542878
44,325.95,307.9,18.049999999999997,0.4799603232799422,80.0,0.22562499999999996,90.0,0.0,1.0,-1989.2425313947097,-1879.0850603357296,-110.15747105898004
45,326.34999999999997,308.275,18.075000000000003,0.4799603232799422,80.0,0.22593750000000004,90.0,0.0,1.0,-1991.6836941882602,-1881.3736504546832,-110.31004373357689
46,326.54999999999995,308.4,18.15,0.4799603232799422,80.0,0.226875,90.0,0.0,1.0,-1992.9042755850355,-1882.1365138276678,-110.76776175736768
47,327.15,308.65,18.5,0.4799603232799422,80.0,0.23125,90.0,0.0,1.0,-1996.5660197753618,-1883.6622405736373,-112.90377920172455
48,328.15,308.9,19.25,0.4799603232799422,80.0,0.240625,90.0,0.0,1.0,-2002.6689267592387,-1885.1879673196065,-117.48095943963222
49,328.34999999999997,309.06666666666666,19.283333333333335,0.47996032327994226,80.0,0.2410416666666667,90.0,0.0,1.0,-2003.8895081560142,-1886.2051184835861,-117.68438967242817
50,328.54999999999995,309.4,19.15,0.4799603232799422,80.0,0.23937499999999998,90.0,0.0,1.0,-2005.1100895527893,-1888.2394208115452,-116.87066874124412
51,329.15,309.65,19.5,0.4799603232799422,80.0,0.24375,90.0,0.0,1.0,-2008.7718337431158,-1889.7651475575144,-119.00668618560144
52,329.34999999999997,309.65,19.700000000000003,0.4799603232799422,80.0,0.24625000000000002,90.0,0.0,1.0,-2009.9924151398911,-1889.7651475575144,-120.22726758237673
53,329.54999999999995,309.65,19.9,0.4799603232799422,80.0,0.24874999999999997,90.0,0.0,1.0,-2011.2129965366667,-1889.7651475575144,-121.44784897915224
54,329.95,309.775,20.174999999999997,0.4799603232799422,80.0,0.2521875,90.0,0.0,1.0,-2013.6541593302175,-1890.528010930499,-123.12614839971855
55,330.15,309.9,20.25,0.4799603232799422,80.0,0.253125,90.0,0.0,1.0,-2014.874740726993,-1891.2908743034834,-123.58386642350956
56,330.75,309.9,20.85,0.4799603232799422,80.0,0.260625,90.0,0.0,1.0,-2018.5364849173193,-1891.2908743034834,-127.24561061383588
57,330.95,310.15,20.799999999999997,0.49662561228271795,80.0,0.25999999999999995,90.0,0.0,1.0,-1927.389556110606,-1806.2543309494017,-121.1352251612044
58,331.15,310.4,20.75,0.5132909012854937,80.0,0.259375,90.0,0.0,1.0,-1836.1309880711349,-1721.0782385543719,-115.05274951676301
59,331.75,310.4,21.35,0.5132909012854937,80.0,0.26687500000000003,90.0,0.0,1.0,-1839.4578145631858,-1721.0782385543719,-118.37957600881396
60,332.15,310.4,21.75,0.5132909012854937,80.0,0.271875,90.0,0.0,1.0,-1841.6756988912196,-1721.0782385543719,-120.59746033684769
61,332.95,310.775,22.174999999999997,0.5132909012854937,80.0,0.2771874999999999,90.0,0.0,1.0,-1846.1114675472877,-1723.157505111904,-122.95396243538391
62,333.15,311.15,22.0,0.5132909012854937,80.0,0.275,90.0,0.0,1.0,-1847.220409711305,-1725.2367716694357,-121.9836380418692
63,333.34999999999997,311.4,21.950000000000003,0.5466214792910453,80.0,0.27437500000000004,90.0,0.0,1.0,-1673.9654526284223,-1563.7403388285309,-110.22511379989146
64,333.54999999999995,311.4,22.15,0.5466214792910453,80.0,0.276875,90.0,0.0,1.0,-1674.9697816835467,-1563.7403388285309,-111.2294428550158
65,333.95,311.4,22.549999999999997,0.5466214792910453,80.0,0.281875,90.0,0.0,1.0,-1676.9784397937954,-1563.7403388285309,-113.2381009652645
66,334.34999999999997,311.65,22.700000000000003,0.5466214792910453,80.0,0.28375000000000006,90.0,0.0,1.0,-1678.987097904044,-1564.9957501474362,-113.99134775660787
67,334.54999999999995,311.56666666666666,22.98333333333333,0.5466214792910453,80.0,0.28729166666666667,90.0,0.0,1.0,-1679.9914269591682,-1564.577279707801,-115.41414725136708
68,334.75,311.9,22.85,0.5466214792910453,80.0,0.285625,90.0,0.0,1.0,-1680.9957560142927,-1566.2511614663417,-114.74459454795101
69,335.54999999999995,312.65,22.9,0.5466214792910453,80.0,0.28624999999999995,90.0,0.0,1.0,-1685.01307223479,-1570.0173954230577,-114.99567681173214
70,335.95,312.9,23.049999999999997,0.5466214792910453,80.0,0.28812499999999996,90.0,0.0,1.0,-1687.0217303450383,-1571.272806741963,-115.74892360307535
71,336.15,312.9,23.25,0.5799520572965968,80.0,0.290625,90.0,0.0,1.0,-1522.607895974278,-1417.295881750265,-105.31201422401318
72,336.34999999999997,313.025,23.325000000000003,0.5632867682938211,80.0,0.29156250000000006,90.0,0.0,1.0,-1606.2720971146705,-1494.8505378709742,-111.42155924369627
73,336.54999999999995,313.65,22.9,0.5799520572965968,80.0,0.28625,90.0,0.0,1.0,-1524.419715573831,-1420.693043499427,-103.72667207440395
74,336.75,313.9,22.850000000000005,0.5799520572965968,80.0,0.285625,90.0,0.0,1.0,-1525.3256253736079,-1421.8254307491472,-103.50019462446016
75,337.54999999999995,314.65,22.900000000000006,0.5799520572965968,80.0,0.28625000000000006,90.0,0.0,1.0,-1528.9492645727132,-1425.222592498309,-103.72667207440418
76,337.75,314.65,23.099999999999994,0.5799520572965968,80.0,0.28874999999999995,90.0,0.0,1.0,-1529.85517437249,-1425.222592498309,-104.63258187418091
77,338.15,315.4833333333333,22.666666666666668,0.6021724426336311,80.0,0.2833333333333334,90.0,0.0,1.0,-1426.9328920863127,-1331.1932509004298,-95.7396411858831
78,338.34999999999997,315.95,22.400000000000002,0.6132826353021483,80.0,0.28,90.0,0.0,1.0,-1375.378832917006,-1284.323754278493,-91.05507863851312
79,338.54999999999995,315.7125,22.837500000000006,0.6132826353021483,80.0,0.2854687500000001,90.0,0.0,1.0,-1376.1918246905643,-1283.3583265473926,-92.83349814317165
80,338.75,315.15,23.599999999999994,0.6132826353021483,80.0,0.29499999999999993,90.0,0.0,1.0,-1377.0048164641225,-1281.0717871842603,-95.93302927986224
81,338.95,315.4,23.549999999999997,0.6132826353021483,80.0,0.294375,90.0,0.0,1.0,-1377.8178082376808,-1282.088026901208,-95.72978133647264
82,339.15,316.2333333333333,22.916666666666668,0.6132826353021483,80.0,0.2864583333333333,90.0,0.0,1.0,-1378.6308000112388,-1285.475492624367,-93.15530738687168
83,339.54999999999995,316.4,23.150000000000006,0.6132826353021483,80.0,0.28937500000000005,90.0,0.0,1.0,-1380.256783558355,-1286.1529857689989,-94.10379778935612
84,339.75,316.4,23.349999999999994,0.6132826353021483,80.0,0.29187499999999994,90.0,0.0,1.0,-1381.0697753319134,-1286.1529857689989,-94.91678956291457
85,339.95,316.4,23.549999999999997,0.6132826353021483,80.0,0.29437499999999994,90.0,0.0,1.0,-1381.8827671054714,-1286.1529857689989,-95.72978133647257
86,340.75,316.4,24.349999999999994,0.6132826353021483,80.0,0.30437499999999995,90.0,0.0,1.0,-1385.134734199704,-1286.1529857689989,-98.98174843070524
87,340.95,316.65,24.299999999999997,0.6132826353021483,80.0,0.30374999999999996,90.0,0.0,1.0,-1385.9477259732623,-1287.1692254859465,-98.7785004873158
88,341.34999999999997,316.4833333333333,24.86666666666667,0.6132826353021483,80.0,0.31083333333333335,90.0,0.0,1.0,-1387.5737095203783,-1286.4917323413147,-101.08197717906357
89,341.75,316.65,25.099999999999994,0.6466132133076999,80.0,0.3137499999999999,90.0,0.0,1.0,-1238.8307710524573,-1147.8442242977633,-90.98654675469402
90,341.95,316.275,25.674999999999997,0.6466132133076999,80.0,0.3209375,90.0,0.0,1.0,-1239.5557634568772,-1146.484863539476,-93.07089991740133
91,342.54999999999995,316.65,25.900000000000006,0.6466132133076999,80.0,0.3237500000000001,90.0,0.0,1.0,-1241.7307406701366,-1147.8442242977633,-93.88651637237331
92,342.75,316.9,25.849999999999994,0.6466132133076999,80.0,0.32312499999999994,90.0,0.0,1.0,-1242.4557330745567,-1148.7504648032882,-93.70526827126855
93,343.34999999999997,316.9,26.450000000000003,0.6466132133076999,80.0,0.33062500000000006,90.0,0.0,1.0,-1244.6307102878163,-1148.7504648032882,-95.88024548452813
94,343.54999999999995,316.9,26.650000000000006,0.6466132133076999,80.0,0.33312500000000006,90.0,0.0,1.0,-1245.355702692236,-1148.7504648032882,-96.60523788894784
95,343.95,317.4,26.549999999999997,0.6466132133076999,80.0,0.331875,90.0,0.0,1.0,-1246.805687501076,-1150.5629458143378,-96.2427416867381
96,344.15,317.4,26.75,0.6466132133076999,80.0,0.334375,90.0,0.0,1.0,-1247.5306799054956,-1150.5629458143378,-96.96773409115781
97,344.54999999999995,317.4,27.150000000000006,0.6466132133076999,80.0,0.3393750000000001,90.0,0.0,1.0,-1248.9806647143355,-1150.5629458143378,-98.41771889999768
98,344.75,317.4833333333333,27.266666666666662,0.6466132133076999,80.0,0.34083333333333327,90.0,0.0,1.0,-1249.7056571187554,-1150.8650259828462,-98.84063113590939
99,344.95,317.4,27.549999999999997,0.6466132133076999,80.0,0.344375,90.0,0.0,1.0,-1250.4306495231754,-1150.5629458143378,-99.86770370883755
