,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
2,311.54999999999995,0.1767766952966369,0.1767766952966369,0.0,0.0,0.002209708691207968,0.0,0.0,0.0,0.0,1.2986217243924945,1.2986217243924945
13,315.15,0.288675134594817,0.28867513459481275,0.0,0.0,0.0036084391824351765,0.0,0.0,0.0,0.0,2.120640395769781,2.1206403957696156
20,318.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,318.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,320.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,323.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,324.54999999999995,0.1767766952966369,0.1767766952966369,0.0,0.0,0.002209708691207953,0.0,0.0,0.0,0.0,1.1846327241614805,1.1846327241614805
45,326.34999999999997,0.1767766952966369,0.1767766952966369,0.0,0.0,0.002209708691207953,0.0,0.0,0.0,0.0,1.0788517283124421,1.0788517283123618
47,327.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,328.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,328.34999999999997,0.28867513459480465,0.28867513459481237,0.0,0.0,0.0036084391824351683,0.0,0.0,0.0,0.0,1.7617574949903838,1.7617574949904145
52,329.34999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,329.95,0.1767766952966369,0.1767766952966369,0.0,0.0,0.0022097086912079727,0.0,0.0,0.0,0.0,1.0788517283122814,1.0788517283123618
57,330.95,0.0,0.0,0.02356827772859266,0.0,0.0,0.0,0.0,0.0,130.62738565240846,122.41753636529513,8.209849287113238
60,332.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,332.95,0.1767766952966369,0.1767766952966369,0.0,0.0,0.0022097086912079337,0.0,0.0,0.0,0.0,0.9801756551500741,0.9801756551501545
67,334.54999999999995,0.14433756729740232,0.14433756729740618,0.0,0.0,0.0018042195912175661,0.0,0.0,0.0,0.0,0.7248120629136714,0.7248120629136868
69,335.54999999999995,0.32274861218393225,0.32274861218395023,0.0,0.0,0.0040343576522993965,0.0,0.0,0.0,0.0,1.6207290435867283,1.6207290435867983
72,336.34999999999997,0.1767766952966369,0.1767766952966369,0.02356827772859266,0.0,0.0022097086912079727,0.0,0.0,0.0,117.03789801272323,108.07740910467528,8.960488908047955
74,336.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,337.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,338.15,1.0103629710818534,1.0103629710818456,0.01924341818375099,0.0,0.012629537138523075,0.0,0.0,0.0,90.70239287558958,82.48919372673203,9.020745419533355
78,338.34999999999997,0.9585144756340459,0.958514475634041,0.0,0.0,0.011981430945425501,0.0,0.0,0.0,0.0,3.896321917634411,3.896321917634436
79,338.54999999999995,0.8003905296791061,0.8003905296791061,0.0,0.0,0.010004881620988837,0.0,0.0,0.0,0.0,3.2535545813149036,3.253554581314882
81,338.95,0.25,0.25,0.0,0.0,0.0031250000000000375,0.0,0.0,0.0,0.0,1.0162397169478652,1.0162397169477817
82,339.15,0.5204164998665355,0.5204164998665334,0.0,0.0,0.006505206248331656,0.0,0.0,0.0,0.0,2.1154716660770525,2.115471666077044
87,340.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,341.34999999999997,0.14433756729741465,0.14433756729740696,0.0,0.0,0.0018042195912175742,0.0,0.0,0.0,0.0,0.586726274140957,0.5867262741409263
90,341.95,0.1767766952966369,0.1767766952966369,0.0,0.0,0.0022097086912079337,0.0,0.0,0.0,0.0,0.6408088068426763,0.6408088068425959
92,342.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,344.75,0.14433756729740232,0.14433756729740618,0.0,0.0,0.00180421959121759,0.0,0.0,0.0,0.0,0.5232181998152075,0.5232181998152229
99,344.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
