,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
0,300.81666666666666,1.0,299.4,1.4166666666666679,0.4132991672688391,0.017708333333333347,-2209.8334723199036,-2199.4264777414123,-10.406994578491322
1,301.15,0.0,301.15,0.0,0.27997685524663296,0.0,-3187.4089097651827,-3187.4089097651827,0.0
2,301.4833333333333,0.6666666666666666,299.2333333333333,2.2499999999999987,0.4132991672688391,0.028124999999999983,-2214.7308815333113,-2198.20212543806,-16.52875609525093
3,301.95,0.5,301.15,0.8000000000000007,0.27997685524663296,0.010000000000000009,-3195.876208877958,-3187.4089097651827,-8.467299112775436
4,302.15,0.0,302.15,0.0,0.3799685892632876,0.0,-2430.8513958217018,-2430.8513958217018,0.0
5,302.75,1.0,301.4,1.3500000000000014,0.27997685524663296,0.01687500000000002,-3204.343507990733,-3190.054940737925,-14.288567252808207
6,303.15,0.3333333333333333,302.56666666666666,0.5833333333333334,0.35774820392625317,0.007291666666666666,-2593.1570743018237,-2588.2096228139767,-4.947451487846895
7,303.95,1.0,302.9,1.0500000000000007,0.346638011257736,0.013125000000000008,-2677.3340981704578,-2668.085205908312,-9.248892262145546
8,304.15,2.0,300.15,4.0,0.4132991672688391,0.05,-2234.3205183869422,-2204.936063106496,-29.38445528044622
9,304.34999999999997,1.5,301.9,2.4499999999999993,0.27997685524663296,0.030624999999999993,-3221.278106216282,-3195.3470026834093,-25.93110353287284
10,304.54999999999995,1.0,302.9,1.6499999999999986,0.3799685892632876,0.020624999999999984,-2450.1598298775416,-2436.8852814641514,-13.274548413390221
11,305.15,1.5,303.15,2.0,0.346638011257736,0.025,-2687.9042607557662,-2670.287323113585,-17.616937642181256
12,305.95,2.0,302.15,3.799999999999997,0.27997685524663296,0.047499999999999966,-3238.212704441832,-3197.9930336561515,-40.21967078568059
13,306.15,1.5,302.9,3.25,0.3799685892632876,0.040625,-2463.0321192481015,-2436.8852814641514,-26.146837783950104
14,306.4833333333333,2.5,299.65,6.833333333333336,0.4132991672688391,0.0854166666666667,-2251.4614506338694,-2201.26300619644,-50.198444437429316
15,306.54999999999995,2.0,303.15,3.3999999999999986,0.346638011257736,0.04249999999999998,-2700.2361171052926,-2670.287323113585,-29.94879399170759
16,307.75,2.0,303.15,4.600000000000001,0.3799685892632876,0.057500000000000016,-2475.904408618662,-2438.8965766783017,-37.00783194036012
17,307.95,2.5,302.65,5.299999999999997,0.27997685524663296,0.06624999999999996,-3259.3809522237693,-3203.2850956016355,-56.09585662213385
18,308.15,3.0,299.65,8.5,0.4132991672688391,0.10625,-2263.704973667389,-2201.26300619644,-62.44196747094884
19,308.34999999999997,2.5,304.15,4.200000000000003,0.346638011257736,0.05250000000000003,-2716.0913609832555,-2679.0957919346756,-36.99556904857991
20,309.34999999999997,2.5,303.65,5.700000000000003,0.3799685892632876,0.07125000000000004,-2488.7766979892217,-2442.9191671066014,-45.85753088262027
21,310.15,3.1666666666666665,302.81666666666666,7.333333333333333,0.346638011257736,0.09166666666666667,-2764.336610317577,-2700.768436314774,-63.56817400280291
22,311.54999999999995,3.0,304.15,7.399999999999999,0.3799685892632876,0.09249999999999999,-2506.4760958737415,-2446.941757534901,-59.53433833884037
23,311.75,3.5,305.15,6.600000000000001,0.346638011257736,0.08250000000000002,-2746.040154974964,-2687.9042607557662,-58.13589421919778
24,311.95,3.5,304.4,7.549999999999997,0.31330743325218446,0.09437499999999996,-3009.999915171989,-2937.150101549458,-72.84981362253075
25,312.4833333333333,4.0,301.15,11.333333333333336,0.4132991672688391,0.1416666666666667,-2295.538133554539,-2212.2821769266075,-83.25595662793148
26,313.34999999999997,3.5,304.65,8.700000000000003,0.3799685892632876,0.10875000000000004,-2520.957421415622,-2450.9643479632014,-69.9930734524205
27,313.75,4.0,305.9,7.850000000000001,0.3799685892632876,0.09812500000000002,-2524.175493758262,-2461.0208240339516,-63.154669724310224
28,313.95,4.0,304.65,9.299999999999997,0.31330743325218446,0.11624999999999996,-3029.297879045507,-2939.562347033648,-89.73553201185905
29,314.4833333333333,4.5,301.65,12.833333333333336,0.4132991672688391,0.1604166666666667,-2310.2303611947623,-2215.9552338366634,-94.27512735809887
30,315.15,4.0,305.4,9.75,0.3799685892632876,0.121875,-2535.438746957502,-2456.9982336056514,-78.44051335185077
31,315.95,4.5,305.65,10.299999999999997,0.31330743325218446,0.12874999999999998,-3048.5958429190255,-2949.211328970407,-99.3845139486184
32,316.15,4.75,304.9,11.25,0.4132991672688391,0.140625,-2331.049117248612,-2249.444078665927,-81.6050385826851
33,316.95,4.5,306.4,10.549999999999997,0.3799685892632876,0.13187499999999996,-2549.920072499382,-2465.043414462252,-84.87665803713026
34,317.4833333333333,5.5,303.4,14.083333333333336,0.44662974527439064,0.1760416666666667,-2127.5493662294693,-2033.1727997711828,-94.37656645828656
35,317.95,5.0,307.9,10.049999999999997,0.4132991672688391,0.12562499999999996,-2335.6968891044826,-2261.868445212361,-73.82844389212141
36,318.15,5.0,306.15,12.0,0.346638011257736,0.15,-2802.4143554299426,-2696.712729576857,-105.70162585308572
37,318.75,5.0,307.15,11.600000000000001,0.3799685892632876,0.14500000000000002,-2564.4013980412624,-2471.0773001047014,-93.32409793656097
38,319.75,5.5,308.65,11.100000000000001,0.4132991672688391,0.13875,-2348.9198939806834,-2267.3780305774444,-81.54186340323895
39,319.81666666666666,6.0,303.4,16.416666666666664,0.44662974527439064,0.2052083333333333,-2143.185720435576,-2033.1727997711828,-110.01292066439328
40,319.95,5.5,307.15,12.799999999999997,0.346638011257736,0.15999999999999998,-2818.2695993079055,-2705.521198397947,-112.74840090995849
41,320.54999999999995,5.5,307.4,13.149999999999999,0.4132991672688391,0.164375,-2354.7967850367727,-2258.195388302305,-96.60139673446747
42,321.15,6.0,309.4,11.75,0.4132991672688391,0.146875,-2359.2044533288395,-2272.8876159425286,-86.31683738631091
43,321.75,6.0,308.15,13.600000000000001,0.346638011257736,0.17,-2834.1248431858685,-2714.3296672190377,-119.79517596683081
44,321.81666666666666,6.5,304.65,17.166666666666664,0.44662974527439064,0.2145833333333333,-2156.5883097550964,-2041.5494180958829,-115.0388916592135
45,322.34999999999997,6.0,308.4,13.950000000000003,0.4132991672688391,0.17437500000000003,-2368.0197899129735,-2265.5415021224167,-102.4782877905568
