,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
0,24.666666666666668,0.5,23.5,310.0,1.1666666666666679,0.014583333333333347
1,25.0,0.5,23.375,310.0,1.625,0.020312499999999997
2,27.0,1.5,23.25,310.0,3.75,0.046875
3,29.0,2.0,23.25,310.0,5.75,0.071875
4,29.666666666666668,2.5,23.5,310.0,6.166666666666668,0.07708333333333335
5,30.0,0.25,30.0,360.0,0.0,0.0
6,30.6,0.0,30.0,285.0,0.6000000000000014,0.007500000000000018
7,30.8,0.8333333333333334,30.0,310.0,0.8000000000000007,0.010000000000000009
8,31.6,0.75,30.5,335.0,1.1000000000000014,0.013750000000000017
9,31.8,1.0,30.5,297.5,1.3000000000000007,0.016250000000000007
10,32.0,3.0,23.75,310.0,8.25,0.103125
11,32.6,1.0,31.25,310.0,1.3500000000000014,0.01687500000000002
12,33.0,2.0,30.0,360.0,3.0,0.0375
13,33.2,2.0,30.25,285.0,2.950000000000003,0.03687500000000003
14,33.666666666666664,3.5,24.25,310.0,9.416666666666664,0.1177083333333333
15,33.8,1.5,31.75,310.0,2.049999999999997,0.025624999999999964
16,34.4,2.5,31.0,360.0,3.3999999999999986,0.04249999999999998
17,34.6,2.5,31.0,285.0,3.6000000000000014,0.04500000000000002
18,35.6,2.0,32.0,310.0,3.6000000000000014,0.04500000000000002
19,36.0,4.0,25.0,310.0,11.0,0.1375
20,36.2,3.0,31.75,285.0,4.450000000000003,0.055625000000000036
21,36.8,3.0,31.5,360.0,5.299999999999997,0.06624999999999996
22,37.6,2.5,32.5,310.0,5.100000000000001,0.06375000000000001
23,37.666666666666664,4.5,25.5,310.0,12.166666666666664,0.1520833333333333
24,38.0,3.5,32.25,285.0,5.75,0.071875
25,38.6,3.5,32.0,360.0,6.600000000000001,0.08250000000000002
26,39.2,3.0,33.25,310.0,5.950000000000003,0.07437500000000004
27,39.666666666666664,5.0,26.5,310.0,13.166666666666664,0.1645833333333333
28,40.0,4.0,33.0,285.0,7.0,0.0875
29,40.2,4.0,32.5,360.0,7.700000000000003,0.09625000000000003
30,41.2,3.5,33.75,310.0,7.450000000000003,0.09312500000000004
31,41.8,4.5,33.75,285.0,8.049999999999997,0.10062499999999996
32,42.0,5.5,26.75,310.0,15.25,0.190625
33,42.4,4.5,33.5,360.0,8.899999999999999,0.11124999999999999
34,43.0,4.0,34.75,310.0,8.25,0.103125
35,43.8,5.0,34.5,285.0,9.299999999999997,0.11624999999999996
36,44.0,5.5,30.75,335.0,13.25,0.165625
37,44.8,4.5,35.25,310.0,9.549999999999997,0.11937499999999997
38,45.4,5.5,35.5,285.0,9.899999999999999,0.12374999999999999
39,46.0,5.5,35.25,360.0,10.75,0.134375
40,46.8,5.0,36.25,310.0,10.549999999999997,0.13187499999999996
41,47.0,6.5,28.75,335.0,18.25,0.228125
42,47.2,6.0,36.0,285.0,11.200000000000003,0.14000000000000004
43,48.2,6.0,35.75,360.0,12.450000000000003,0.15562500000000004
44,48.666666666666664,7.0,29.0,335.0,19.666666666666664,0.2458333333333333
45,48.8,5.5,37.0,310.0,11.799999999999997,0.14749999999999996
46,49.2,6.5,37.25,285.0,11.950000000000003,0.14937500000000004
47,49.8,6.5,36.25,360.0,13.549999999999997,0.16937499999999997
48,50.0,7.5,30.0,335.0,20.0,0.25
49,50.4,6.0,38.0,310.0,12.399999999999999,0.15499999999999997
50,50.8,7.0,38.0,310.0,12.799999999999997,0.15999999999999998
51,51.2,7.0,37.0,385.0,14.200000000000003,0.17750000000000005
52,52.2,7.0,38.375,310.0,13.825000000000003,0.17281250000000004
53,52.666666666666664,8.0,30.25,360.0,22.416666666666664,0.2802083333333333
54,52.8,7.5,38.0,385.0,14.799999999999997,0.18499999999999997
55,53.8,7.5,39.125,322.5,14.674999999999997,0.18343749999999998
56,54.0,8.5,31.25,360.0,22.75,0.284375
57,54.6,8.0,38.75,410.0,15.850000000000001,0.19812500000000002
58,55.2,7.5,39.75,335.0,15.450000000000003,0.19312500000000005
59,55.333333333333336,9.0,32.0,360.0,23.333333333333336,0.2916666666666667
60,55.4,8.5,40.25,310.0,15.149999999999999,0.189375
61,56.2,8.5,39.5,410.0,16.700000000000003,0.20875000000000005
62,56.666666666666664,9.5,33.0,385.0,23.666666666666664,0.2958333333333333
63,56.8,8.0,40.75,360.0,16.049999999999997,0.20062499999999997
64,57.0,9.0,40.75,335.0,16.25,0.203125
65,58.2,8.75,40.875,385.0,17.325000000000003,0.21656250000000005
66,58.6,9.5,41.5,335.0,17.1,0.21375000000000002
67,59.0,10.0,33.75,410.0,25.25,0.315625
68,59.2,9.5,40.75,435.0,18.450000000000003,0.23062500000000002
69,59.8,9.5,42.375,347.5,17.424999999999997,0.21781249999999996
70,60.6,10.0,41.5,435.0,19.1,0.23875000000000002
71,60.666666666666664,10.5,35.0,410.0,25.666666666666664,0.3208333333333333
72,61.0,9.5,43.0,360.0,18.0,0.225
73,61.2,10.5,43.0,360.0,18.200000000000003,0.22750000000000004
74,62.0,10.75,39.125,422.5,22.875,0.2859375
75,62.2,11.0,43.5,360.0,18.700000000000003,0.23375000000000004
76,62.6,10.0,43.5,360.0,19.1,0.23875000000000002
77,63.4,11.25,43.375,410.0,20.025,0.2503125
78,63.666666666666664,11.5,36.5,435.0,27.166666666666664,0.3395833333333333
79,63.8,10.5,44.75,360.0,19.049999999999997,0.23812499999999998
80,64.2,11.5,43.5,460.0,20.700000000000003,0.25875000000000004
81,64.8,12.0,45.0,360.0,19.799999999999997,0.24749999999999997
82,65.0,11.0,45.0,385.0,20.0,0.25
83,65.33333333333333,12.0,37.25,460.0,28.08333333333333,0.3510416666666666
84,65.66666666666667,12.5,36.75,460.0,28.91666666666667,0.3614583333333334
85,65.8,12.5,45.25,385.0,20.549999999999997,0.25687499999999996
86,66.0,12.0,44.25,485.0,21.75,0.271875
87,66.6,11.5,46.0,385.0,20.599999999999994,0.25749999999999995
88,67.0,12.5,45.25,485.0,21.75,0.271875
89,67.2,13.0,46.0,385.0,21.200000000000003,0.265
90,67.8,12.75,46.75,410.0,21.049999999999997,0.26312499999999994
91,68.0,13.0,38.75,460.0,29.25,0.365625
92,68.4,12.5,47.0,410.0,21.400000000000006,0.26750000000000007
93,68.6,13.0,46.25,510.0,22.349999999999994,0.27937499999999993
94,68.66666666666667,13.5,39.25,460.0,29.41666666666667,0.3677083333333334
95,68.8,14.0,47.25,410.0,21.549999999999997,0.269375
96,69.0,14.0,38.5,485.0,30.5,0.38125
97,69.4,13.5,46.25,510.0,23.150000000000006,0.28937500000000005
98,69.6,13.0,47.25,410.0,22.349999999999994,0.27937499999999993
99,69.8,14.5,47.75,435.0,22.049999999999997,0.27562499999999995
100,70.4,14.0,46.75,535.0,23.650000000000006,0.2956250000000001
101,70.6,14.25,47.75,435.0,22.849999999999994,0.2856249999999999
102,71.0,14.5,40.0,485.0,31.0,0.3875
103,71.4,14.5,46.75,560.0,24.650000000000006,0.3081250000000001
104,71.6,14.0,48.5,460.0,23.099999999999994,0.28874999999999995
105,71.66666666666667,15.25,40.75,510.0,30.91666666666667,0.3864583333333334
106,72.0,15.25,47.875,510.0,24.125,0.3015625
107,72.6,16.0,49.0,460.0,23.599999999999994,0.29499999999999993
108,72.8,14.5,48.75,460.0,24.049999999999997,0.300625
109,73.0,16.0,41.0,510.0,32.0,0.4
110,73.4,15.25,48.5,510.0,24.900000000000006,0.31125
111,73.6,16.5,49.75,460.0,23.849999999999994,0.2981249999999999
112,73.8,16.5,49.5,522.5,24.299999999999997,0.30374999999999996
113,74.0,16.5,41.75,510.0,32.25,0.403125
114,74.2,17.75,52.125,497.5,22.075000000000003,0.27593750000000006
115,74.4,17.0,49.625,547.5,24.775000000000006,0.30968750000000006
116,74.6,16.0,50.25,460.0,24.349999999999994,0.30437499999999995
117,75.0,19.0,55.75,510.0,19.25,0.240625
118,75.33333333333333,17.666666666666668,43.0,551.6666666666666,32.33333333333333,0.4041666666666666
119,75.4,17.0,49.75,610.0,25.650000000000006,0.32062500000000005
120,75.6,18.0,51.0,510.0,24.599999999999994,0.30749999999999994
121,75.66666666666667,18.0,43.25,560.0,32.41666666666667,0.4052083333333334
122,75.8,16.5,50.75,485.0,25.049999999999997,0.313125
123,76.0,18.75,48.0,547.5,28.0,0.35
124,76.2,19.5,54.0,585.0,22.200000000000003,0.2775
125,76.4,17.833333333333332,51.666666666666664,501.6666666666667,24.733333333333338,0.30916666666666676
126,76.6,18.0,50.0,635.0,26.599999999999994,0.3324999999999999
127,76.8,20.0,53.5,522.5,23.299999999999997,0.29124999999999995
128,77.0,19.5,55.5,535.0,21.5,0.26875
129,77.2,18.0,52.5,510.0,24.700000000000003,0.30875
130,77.33333333333333,19.5,47.0,585.0,30.33333333333333,0.3791666666666666
131,77.4,18.5,50.75,635.0,26.650000000000006,0.33312500000000006
132,77.8,20.666666666666668,54.583333333333336,585.0,23.216666666666665,0.2902083333333333
133,78.0,18.5,53.25,510.0,24.75,0.309375
134,78.33333333333333,20.25,48.25,610.0,30.08333333333333,0.3760416666666666
135,78.4,19.75,53.375,597.5,25.025000000000006,0.31281250000000005
136,79.0,21.75,52.625,597.5,26.375,0.3296875
137,79.2,20.0,52.5,685.0,26.700000000000003,0.33375000000000005
138,79.33333333333333,22.5,51.75,660.0,27.58333333333333,0.3447916666666666
139,79.4,20.5,54.375,635.0,25.025000000000006,0.31281250000000005
140,79.6,21.0,53.5,710.0,26.099999999999994,0.32624999999999993
141,79.66666666666667,21.75,50.875,635.0,28.79166666666667,0.3598958333333334
142,79.8,23.0,56.75,560.0,23.049999999999997,0.28812499999999996
143,80.0,22.25,56.125,572.5,23.875,0.2984375
144,80.2,21.5,53.75,735.0,26.450000000000003,0.33062500000000006
145,80.33333333333333,24.0,53.75,685.0,26.58333333333333,0.3322916666666666
146,80.6,22.75,56.875,572.5,23.724999999999994,0.29656249999999995
147,81.0,24.0,54.916666666666664,660.0,26.083333333333332,0.3260416666666667
148,81.2,22.0,55.75,660.0,25.450000000000003,0.31812500000000005
149,81.33333333333333,23.5,53.5,660.0,27.83333333333333,0.3479166666666666
150,81.4,25.25,58.375,610.0,23.025000000000006,0.2878125
151,81.6,22.75,55.625,735.0,25.974999999999994,0.3246874999999999
152,81.8,26.0,59.5,610.0,22.299999999999997,0.27874999999999994
153,82.0,24.125,55.875,685.0,26.125,0.3265625
154,82.2,23.5,57.25,685.0,24.950000000000003,0.311875
155,82.33333333333333,28.0,57.75,735.0,24.58333333333333,0.30729166666666663
156,82.4,26.5,59.5,610.0,22.900000000000006,0.28625000000000006
157,82.6,24.5,57.25,760.0,25.349999999999994,0.3168749999999999
158,82.8,26.5,59.166666666666664,660.0,23.63333333333333,0.29541666666666666
159,83.0,25.166666666666668,57.916666666666664,710.0,25.083333333333332,0.31354166666666666
160,83.2,24.25,58.75,610.0,24.450000000000003,0.30562500000000004
161,83.33333333333333,26.5,56.5,735.0,26.83333333333333,0.3354166666666666
162,83.4,27.875,60.5,647.5,22.900000000000006,0.28625000000000006
163,83.66666666666667,27.8,58.55,740.0,25.11666666666667,0.3139583333333334
164,83.8,29.5,62.25,610.0,21.549999999999997,0.269375
165,84.0,27.75,60.5,685.0,23.5,0.29374999999999996
166,84.2,28.166666666666668,59.416666666666664,718.3333333333334,24.783333333333335,0.30979166666666674
167,84.33333333333333,29.25,60.0,760.0,24.33333333333333,0.3041666666666666
168,84.4,28.3,60.9,655.0,23.500000000000007,0.29375000000000007
169,84.6,31.0,62.75,635.0,21.849999999999994,0.27312499999999995
170,84.66666666666667,31.0,61.25,760.0,23.41666666666667,0.2927083333333334
171,84.8,29.5,62.0,635.0,22.799999999999997,0.285
172,85.2,29.833333333333332,60.75,742.8533333333334,24.450000000000003,0.30562500000000004
173,85.4,28.5,60.75,746.78,24.650000000000006,0.3081250000000001
174,85.6,31.166666666666668,63.083333333333336,651.6666666666666,22.516666666666662,0.28145833333333325
175,85.8,29.25,60.75,746.78,25.049999999999997,0.313125
176,86.0,32.611111111111114,63.166666666666664,731.7422222222223,22.833333333333332,0.28541666666666665
177,86.2,31.5,61.25,833.56,24.950000000000003,0.311875
178,86.33333333333333,32.0,63.75,760.0,22.58333333333333,0.2822916666666666
179,86.4,34.666666666666664,64.33333333333333,730.1133333333333,22.066666666666674,0.27583333333333343
180,86.6,33.0,63.166666666666664,726.1866666666666,23.433333333333326,0.2929166666666666
181,86.8,29.5,61.5,685.0,25.299999999999997,0.31625
182,87.0,36.0,67.35,727.068,19.65,0.24562499999999998
183,87.2,32.0,62.375,750.9466666666667,24.825000000000003,0.31031250000000005
184,87.33333333333333,33.25,68.625,815.17,18.70833333333333,0.23385416666666659
185,87.6,36.5,64.875,777.6700000000001,22.724999999999994,0.28406249999999994
186,87.8,35.75,63.25,888.73,24.549999999999997,0.306875
187,88.2,36.0,64.21428571428571,813.8142857142857,23.98571428571429,0.2998214285714286
188,88.33333333333333,34.5,70.5,833.56,17.83333333333333,0.2229166666666666
189,88.4,40.8,66.95,744.424,21.450000000000006,0.26812500000000006
190,88.6,38.04545454545455,65.36363636363636,745.84,23.23636363636363,0.2904545454545454
191,88.66666666666667,35.0,70.5,833.56,18.16666666666667,0.2270833333333334
192,88.8,42.833333333333336,67.0,775.7066666666666,21.799999999999997,0.27249999999999996
193,89.0,42.7,67.2,720.0,21.8,0.27249999999999996
194,89.2,41.083333333333336,65.83333333333333,742.8533333333334,23.36666666666667,0.2920833333333334
195,89.33333333333333,35.5,72.25,833.56,17.08333333333333,0.2135416666666666
196,89.4,46.785714285714285,67.60714285714286,717.1428571428571,21.792857142857148,0.27241071428571434
197,89.6,45.23076923076923,66.86538461538461,748.0184615384616,22.73461538461538,0.2841826923076922
198,89.66666666666667,36.666666666666664,74.16666666666667,858.0799999999999,15.500000000000005,0.19375000000000006
199,89.8,48.18181818181818,67.6590909090909,753.7290909090909,22.140909090909087,0.2767613636363636
200,90.0,48.9,67.25,771.78,22.75,0.284375
201,90.2,53.7,68.35,756.78,21.85,0.273125
202,90.33333333333333,37.0,74.25,870.34,16.08333333333333,0.20104166666666662
203,90.4,49.357142857142854,67.35714285714286,813.8142857142857,23.042857142857148,0.28803571428571434
204,90.6,46.0,67.0625,799.725,23.537499999999994,0.2942187499999999
205,90.8,47.375,66.8125,828.9625,23.987499999999997,0.29984374999999996
206,91.0,47.583333333333336,69.20833333333333,809.04,21.791666666666668,0.27239583333333334
207,91.2,52.166666666666664,67.41666666666667,760.0,23.783333333333335,0.29729166666666673
208,91.33333333333333,38.0,73.75,870.34,17.58333333333333,0.2197916666666666
209,91.4,53.25,68.35416666666667,790.65,23.045833333333338,0.28807291666666673
210,91.6,54.666666666666664,69.08333333333333,760.0,22.516666666666662,0.28145833333333325
211,91.66666666666667,39.0,75.0,870.34,16.66666666666667,0.2083333333333334
212,91.8,54.3,68.35,796.78,23.449999999999996,0.29312499999999997
213,92.0,44.25,71.625,907.12,20.375,0.25468749999999996
214,92.2,52.25,68.625,980.6800000000001,23.575000000000003,0.29468750000000005
215,92.33333333333333,40.0,74.75,870.34,17.58333333333333,0.2197916666666666
216,92.4,50.5,69.5,980.6800000000001,22.900000000000006,0.28625000000000006
217,92.6,52.285714285714285,68.67857142857143,980.6800000000001,23.921428571428567,0.2990178571428571
218,92.66666666666667,41.5,76.33333333333333,882.6,16.33333333333334,0.20416666666666672
219,92.8,55.166666666666664,68.75,992.94,24.049999999999997,0.300625
220,93.0,50.8,71.7,958.6120000000001,21.3,0.26625
221,93.2,56.166666666666664,69.16666666666667,1005.2000000000002,24.033333333333335,0.3004166666666667
222,93.33333333333333,44.5,76.83333333333333,943.9,16.499999999999996,0.20624999999999993
223,93.4,59.0,69.5,1017.46,23.900000000000006,0.29875000000000007
224,93.6,59.5,69.5,1017.46,24.099999999999994,0.3012499999999999
225,93.66666666666667,45.1,75.65,929.1879999999999,18.016666666666673,0.2252083333333334
226,94.0,50.0,75.6,958.6119999999999,18.4,0.22999999999999998
227,94.33333333333333,49.0,78.75,943.9,15.583333333333329,0.1947916666666666
228,94.66666666666667,50.0,79.25,943.9,15.416666666666671,0.1927083333333334
229,95.66666666666667,49.5,79.25,943.9,16.41666666666667,0.20520833333333338
