,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
0,0.0,302.15,301.9,0.25,0.3799685892632876,0.003125,-2430.8513958217018,-2428.8401006075514,-2.011295214150323,Al2O3 DI Water 60,60
1,0.5,302.95,301.9,0.916666666666668,0.3799685892632876,0.0114583333333333,-2437.2875405069813,-2428.8401006075514,-8.44743989942981,Al2O3 DI Water 60,60
2,1.0,304.15,302.15,1.666666666666668,0.3799685892632876,0.0208333333333333,-2446.941757534901,-2430.8513958217018,-16.0903617131994,Al2O3 DI Water 60,60
3,1.5,305.75,302.15,3.0,0.3799685892632876,0.0375,-2459.814046905462,-2430.8513958217018,-28.962651083760196,Al2O3 DI Water 60,60
4,2.0,307.15,303.15,3.0,0.3799685892632876,0.0375,-2471.0773001047014,-2438.8965766783017,-32.18072342639971,Al2O3 DI Water 60,60
5,2.5,308.54999999999995,303.9,3.25,0.3799685892632876,0.040625,-2482.3405533039413,-2444.9304623207518,-37.41009098319,Al2O3 DI Water 60,60
6,3.0,310.54999999999995,304.15,4.666666666666664,0.3799685892632876,0.0583333333333333,-2498.4309150171416,-2446.941757534901,-51.48915748224045,Al2O3 DI Water 60,60
7,3.5,312.75,305.15,5.666666666666664,0.3799685892632876,0.0708333333333333,-2516.130312901662,-2454.9869383915016,-61.14337451016036,Al2O3 DI Water 60,60
8,4.0,314.75,306.15,6.333333333333336,0.3799685892632876,0.0791666666666666,-2532.220674614862,-2463.032119248101,-69.18855536676074,Al2O3 DI Water 60,60
9,4.5,316.15,306.65,7.166666666666664,0.3799685892632876,0.0895833333333333,-2543.4839278141017,-2467.0547096764017,-76.42921813769999,Al2O3 DI Water 60,60
10,5.0,318.35,307.9,8.25,0.3799685892632876,0.103125,-2561.183325698621,-2477.111185747152,-84.07213995146958,Al2O3 DI Water 60,60
11,5.5,319.95,308.65,8.833333333333336,0.3799685892632876,0.1104166666666666,-2574.0556150691823,-2483.145071389601,-90.91054367958075,Al2O3 DI Water 60,60
12,6.0,321.75,309.4,9.75,0.3799685892632876,0.121875,-2588.5369406110626,-2489.178957032052,-99.35798357901103,Al2O3 DI Water 60,60
13,6.5,323.54999999999995,310.15,10.333333333333336,0.3799685892632876,0.1291666666666667,-2603.018266152942,-2495.2128426745016,-107.8054234784404,Al2O3 DI Water 60,60
14,7.0,325.15,311.4,10.416666666666664,0.4132991672688391,0.1302083333333333,-2388.5889086092857,-2287.5798435827514,-101.00906502653424,Al2O3 DI Water 60,60
15,7.5,326.75,311.9,11.583333333333336,0.4132991672688391,0.1447916666666667,-2400.3426907214644,-2291.2529004928074,-109.08979022865697,Al2O3 DI Water 60,60
16,8.0,328.15,312.65,12.166666666666664,0.4132991672688391,0.1520833333333333,-2410.627250069621,-2296.762485857891,-113.86476421172983,Al2O3 DI Water 60,60
17,8.5,329.54999999999995,313.65,12.166666666666664,0.4132991672688391,0.1520833333333333,-2420.911809417777,-2304.1085996780025,-116.8032097397745,Al2O3 DI Water 60,60
18,9.0,330.75,314.15,13.333333333333336,0.4466297452743906,0.1666666666666666,-2216.453208715619,-2105.211717363603,-111.24149135201606,Al2O3 DI Water 60,60
19,9.5,332.15,315.15,13.333333333333336,0.4466297452743906,0.1666666666666666,-2225.8350212392825,-2111.9130120233626,-113.92200921591984,Al2O3 DI Water 60,60
20,10.0,333.54999999999995,315.9,13.916666666666664,0.4466297452743906,0.1739583333333333,-2235.2168337629464,-2116.9389830181826,-118.27785074476378,Al2O3 DI Water 60,60
21,10.5,334.75,316.65,14.166666666666664,0.4799603232799422,0.1770833333333333,-2042.9481128528275,-1932.485496444653,-110.46261640817396,Al2O3 DI Water 60,60
22,11.0,335.54999999999995,317.15,14.333333333333336,0.4799603232799422,0.1791666666666667,-2047.830438439929,-1935.536949936592,-112.29348850333712,Al2O3 DI Water 60,60
23,11.5,337.35,317.9,15.25,0.4799603232799422,0.190625,-2058.8156710109074,-1940.1141301745,-118.70154083640772,Al2O3 DI Water 60,60
24,12.0,338.15,317.9,15.916666666666664,0.4799603232799422,0.1989583333333333,-2063.697996598009,-1940.1141301745,-123.58386642350932,Al2O3 DI Water 60,60
25,12.5,339.15,318.9,15.916666666666664,0.5132909012854937,0.1989583333333333,-1880.4886746318143,-1768.208280525094,-112.28039410672068,Al2O3 DI Water 60,60
26,13.0,340.35,319.65,16.166666666666664,0.5132909012854937,0.2020833333333333,-1887.1423276159164,-1772.3668136401575,-114.77551397575871,Al2O3 DI Water 60,60
27,13.5,340.95,319.9,16.583333333333336,0.5466214792910453,0.2072916666666667,-1712.129956723146,-1606.4243236713137,-105.70563305183236,Al2O3 DI Water 60,60
28,14.0,342.15,320.65,17.16666666666667,0.5466214792910453,0.2145833333333334,-1718.1559310538917,-1610.1905576280296,-107.96537342586204,Al2O3 DI Water 60,60
29,14.5,342.35,320.65,17.5,0.5799520572965968,0.21875,-1550.691099767348,-1452.3998864916027,-98.29121327574536,Al2O3 DI Water 60,60
30,15.0,343.15,321.65,17.16666666666667,0.5799520572965968,0.2145833333333334,-1554.314738966454,-1456.929435490485,-97.38530347596908,Al2O3 DI Water 60,60
31,15.5,344.15,322.4,17.41666666666667,0.6132826353021483,0.2177083333333334,-1398.9555943501923,-1310.5427389757435,-88.41285537444901,Al2O3 DI Water 60,60
32,16.0,344.54999999999995,322.65,17.83333333333333,0.6132826353021483,0.2229166666666666,-1400.581577897309,-1311.5589786926912,-89.02259920461779,Al2O3 DI Water 60,60
33,16.5,345.54999999999995,323.4,18.08333333333333,0.6132826353021483,0.2260416666666666,-1404.6465367650997,-1314.6076978435342,-90.03883892156546,Al2O3 DI Water 60,60
34,17.0,345.95,324.4,17.08333333333333,0.6132826353021483,0.2135416666666666,-1406.272520312216,-1318.672656711325,-87.59986360089079,Al2O3 DI Water 60,60
35,17.5,346.54999999999995,324.9,17.58333333333333,0.6466132133076999,0.2197916666666666,-1256.230588758534,-1177.750160980083,-78.48042777845103,Al2O3 DI Water 60,60
36,18.0,347.54999999999995,325.4,18.08333333333333,0.6799437913132514,0.2260416666666666,-1114.6224361429292,-1043.5855005636863,-71.03693557924294,Al2O3 DI Water 60,60
37,18.5,347.54999999999995,325.65,17.83333333333333,0.6799437913132514,0.2229166666666666,-1114.6224361429292,-1044.3872718456191,-70.23516429731012,Al2O3 DI Water 60,60
38,19.0,348.54999999999995,326.9,17.58333333333333,0.6799437913132514,0.2197916666666666,-1117.8295212706605,-1048.3961282552827,-69.43339301537753,Al2O3 DI Water 60,60
39,19.5,349.15,327.4,17.75,0.6799437913132514,0.221875,-1119.753772347299,-1049.9996708191484,-69.75410152815061,Al2O3 DI Water 60,60
40,20.0,349.54999999999995,327.9,17.58333333333333,0.713274369318803,0.2197916666666666,-981.9594141056232,-921.1400139757798,-60.8194001298433,Al2O3 DI Water 60,60
41,20.5,350.15,328.4,17.75,0.713274369318803,0.221875,-983.6449402062192,-922.54461905961,-61.1003211466093,Al2O3 DI Water 60,60
42,21.0,350.75,329.4,17.41666666666667,0.7466049473243546,0.2177083333333334,-852.1504506112469,-800.2804231827362,-51.87002742851075,Al2O3 DI Water 60,60
43,21.5,350.95,329.4,17.75,0.7466049473243546,0.221875,-852.6363525075327,-800.2804231827362,-52.35592932479653,Al2O3 DI Water 60,60
44,22.0,351.95,329.9,18.25,0.7466049473243546,0.228125,-855.0658619889617,-801.4951779234508,-53.57068406551093,Al2O3 DI Water 60,60
45,22.5,352.15,330.15,18.0,0.7466049473243546,0.225,-855.5517638852476,-802.102555293808,-53.44920859143963,Al2O3 DI Water 60,60
46,23.0,352.75,330.9,17.58333333333333,0.7466049473243546,0.2197916666666666,-857.0094695741051,-803.9246874048798,-53.084782169225264,Al2O3 DI Water 60,60
47,23.5,353.15,331.15,18.0,0.7799355253299061,0.225,-729.7473954747043,-684.2867053984095,-45.46069007629478,Al2O3 DI Water 60,60
48,24.0,353.15,331.9,17.25,0.7799355253299061,0.215625,-729.7473954747043,-685.8365016510105,-43.91089382369376,Al2O3 DI Water 60,60
49,24.5,353.75,332.15,17.33333333333333,0.8132661033354576,0.2166666666666666,-607.9116390054585,-570.7925113658318,-37.11912763962664,Al2O3 DI Water 60,60
50,25.0,354.35,332.4,17.41666666666667,0.8132661033354576,0.2177083333333334,-608.9427258843369,-571.2221308986979,-37.72059498563908,Al2O3 DI Water 60,60
