,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
0,0.0,298.15,296.65,1.5,0.4132991672688391,0.01875,-2190.2438354662727,-2179.2246647361053,-11.019170730167389,DI Water 60,60
1,0.5,297.81666666666666,296.65,1.166666666666668,0.4132991672688391,0.0145833333333333,-2187.795130859569,-2179.2246647361053,-8.570466123463575,DI Water 60,60
2,1.0,298.15,296.4,1.75,0.4132991672688391,0.021875,-2190.2438354662727,-2177.388136281077,-12.85569918519559,DI Water 60,60
3,1.5,300.15,296.4,3.75,0.4132991672688391,0.046875,-2204.936063106496,-2177.388136281077,-27.547926825418926,DI Water 60,60
4,2.0,302.15,296.4,5.75,0.4132991672688391,0.071875,-2219.62829074672,-2177.388136281077,-42.24015446564226,DI Water 60,60
5,2.5,302.81666666666666,296.65,6.166666666666668,0.4132991672688391,0.0770833333333333,-2224.525699960127,-2179.2246647361053,-45.30103522402169,DI Water 60,60
6,3.0,305.15,296.9,8.25,0.4132991672688391,0.103125,-2241.666632207054,-2181.061193191133,-60.60543901592109,DI Water 60,60
7,3.5,306.81666666666666,297.4,9.416666666666664,0.4132991672688391,0.1177083333333333,-2253.910155240573,-2184.734250101189,-69.17590513938421,DI Water 60,60
8,4.0,309.15,298.15,11.0,0.4132991672688391,0.1375,-2271.0510874875004,-2190.2438354662727,-80.80725202122767,DI Water 60,60
9,4.5,310.81666666666666,298.65,12.166666666666664,0.4132991672688391,0.1520833333333333,-2283.29461052102,-2193.9168923763286,-89.37771814469124,DI Water 60,60
10,5.0,312.81666666666666,299.65,13.166666666666664,0.4132991672688391,0.1645833333333333,-2297.986838161243,-2201.26300619644,-96.72383196480314,DI Water 60,60
11,5.5,315.15,299.9,15.25,0.4132991672688391,0.190625,-2315.12777040817,-2203.0995346514683,-112.02823575670163,DI Water 60,60
12,6.0,317.15,300.4,16.75,0.4132991672688391,0.209375,-2329.819998048393,-2206.772591561524,-123.04740648686902,DI Water 60,60
13,6.5,320.15,301.9,18.25,0.4466297452743906,0.228125,-2145.4194853221625,-2023.1208577815428,-122.29862754061968,DI Water 60,60
14,7.0,321.81666666666666,302.15,19.666666666666664,0.4466297452743906,0.2458333333333333,-2156.5883097550964,-2024.796181446483,-131.79212830861343,DI Water 60,60
15,7.5,323.15,303.15,20.0,0.4466297452743906,0.25,-2165.5233693014425,-2031.4974761062429,-134.0258931951996,DI Water 60,60
16,8.0,325.81666666666666,303.4,22.416666666666664,0.4799603232799422,0.2802083333333333,-1988.428810463526,-1851.6219789082832,-136.80683155524275,DI Water 60,60
17,8.5,327.15,304.4,22.75,0.4799603232799422,0.284375,-1996.5660197753616,-1857.72488589216,-138.8411338832018,DI Water 60,60
18,9.0,328.4833333333333,305.15,23.333333333333336,0.4799603232799422,0.2916666666666667,-2004.7032290871975,-1862.302066130068,-142.40116295712983,DI Water 60,60
19,9.5,329.81666666666666,306.15,23.666666666666664,0.5132909012854937,0.2958333333333333,-1828.7380403110217,-1697.5132175690107,-131.22482274201093,DI Water 60,60
20,10.0,332.15,306.9,25.25,0.5466214792910453,0.315625,-1667.9394782976767,-1541.142935088234,-126.79654320944267,DI Water 60,60
21,10.5,333.81666666666666,308.15,25.666666666666664,0.5466214792910453,0.3208333333333333,-1676.3088870903794,-1547.4199916827613,-128.8888954076181,DI Water 60,60
22,11.0,335.15,308.9,26.25,0.5466214792910453,0.328125,-1683.0044141245412,-1551.1862256394772,-131.81818848506396,DI Water 60,60
23,11.5,336.81666666666666,309.65,27.166666666666664,0.5799520572965968,0.3395833333333333,-1525.6275953068664,-1402.574847503898,-123.0527478029685,DI Water 60,60
24,12.0,338.4833333333333,310.4,28.08333333333333,0.6132826353021483,0.3510416666666666,-1375.9208274327111,-1261.7632325622542,-114.15759487045716,DI Water 60,60
25,12.5,338.81666666666666,309.9,28.91666666666667,0.6132826353021483,0.3614583333333334,-1377.2758137219753,-1259.7307531283586,-117.54506059361664,DI Water 60,60
26,13.0,341.15,311.9,29.25,0.6132826353021483,0.365625,-1386.7607177468203,-1267.8606708639404,-118.9000468828799,DI Water 60,60
27,13.5,341.81666666666666,312.4,29.41666666666667,0.6132826353021483,0.3677083333333334,-1389.4706903253475,-1269.8931502978355,-119.577540027512,DI Water 60,60
28,14.0,342.15,311.65,30.5,0.6466132133076999,0.38125,-1240.2807558612972,-1129.7194141872665,-110.5613416740307,DI Water 60,60
29,14.5,344.15,313.15,31.0,0.6466132133076999,0.3875,-1247.5306799054956,-1135.1568572204155,-112.37382268508009,DI Water 60,60
30,15.0,344.81666666666666,314.15,30.66666666666667,0.6799437913132514,0.3833333333333334,-1105.8564034604644,-1007.505792876712,-98.35061058375254,DI Water 60,60
31,15.5,344.81666666666666,313.65,31.16666666666667,0.6799437913132514,0.3895833333333334,-1105.8564034604644,-1005.9022503128464,-99.95415314761806,DI Water 60,60
32,16.0,346.15,314.15,32.0,0.6799437913132514,0.4,-1110.1325169641057,-1007.505792876712,-102.62672408739375,DI Water 60,60
33,16.5,347.15,314.9,32.25,0.6799437913132514,0.403125,-1113.3396020918367,-1009.91110672251,-103.42849536932658,DI Water 60,60
34,17.0,348.4833333333333,315.15,33.33333333333333,0.713274369318803,0.4166666666666666,-978.9629232601188,-885.3225843381123,-93.64033892200666,DI Water 60,60
35,17.5,348.4833333333333,315.65,32.83333333333333,0.7466049473243546,0.4104166666666666,-846.643562453341,-766.8746678130865,-79.76889464025453,DI Water 60,60
36,18.0,348.81666666666666,316.4,32.41666666666667,0.7466049473243546,0.4052083333333334,-847.4533989471507,-768.6967999241583,-78.75659902299242,DI Water 60,60
37,18.5,348.4833333333333,317.65,30.83333333333333,0.7466049473243546,0.3854166666666666,-846.643562453341,-771.7336867759445,-74.90987567739649,DI Water 60,60
38,19.0,349.15,317.9,31.25,0.7799355253299061,0.390625,-721.4818154608325,-656.9069716024593,-64.57484385837324,DI Water 60,60
39,19.5,350.4833333333333,320.15,30.33333333333333,0.7799355253299061,0.3791666666666666,-724.2370087987897,-661.5563603602621,-62.68064843852756,DI Water 60,60
40,20.0,351.4833333333333,320.65,30.83333333333333,0.8132661033354576,0.3854166666666666,-604.0164219074729,-551.0300128539936,-52.98640905347929,DI Water 60,60
41,20.5,351.4833333333333,322.15,29.33333333333333,0.8132661033354576,0.3666666666666666,-604.0164219074729,-553.6077300511898,-50.4086918562831,DI Water 60,60
42,21.0,352.15,321.65,30.5,0.8465966813410092,0.38125,-487.5649371661194,-445.3365385190467,-42.22839864707271,DI Water 60,60
43,21.5,352.81666666666666,324.15,28.66666666666667,0.8465966813410092,0.3583333333333334,-488.48796227315927,-448.7978826704461,-39.690079602713126,DI Water 60,60
44,22.0,352.81666666666666,323.9,28.91666666666667,0.8465966813410092,0.3614583333333334,-488.48796227315927,-448.4517482553062,-40.03621401785307,DI Water 60,60
45,22.5,352.4833333333333,324.9,27.58333333333333,0.8799272593465607,0.3447916666666666,-374.8638794316239,-345.5291723315559,-29.334707100067988,DI Water 60,60
46,23.0,354.15,325.9,28.25,0.8799272593465607,0.353125,-376.6363692866129,-346.5926662445494,-30.043703042063555,DI Water 60,60
47,23.5,354.4833333333333,326.65,27.83333333333333,0.8799272593465607,0.3479166666666666,-376.9908672576107,-347.3902866792944,-29.60058057831634,DI Water 60,60
