,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,304.0,304.15,0.11111111111111072,0.4132991672688391,120.0,0.0009259259259259226,90.0,0.0,1.0,-2235.136753255844,-2234.3205183869422,-0.8162348689014228
1,305.0,304.32857142857137,0.6214285714285721,0.4132991672688391,120.0,0.005178571428571434,90.0,0.0,1.0,-2240.1974094430316,-2235.632324426248,-4.5650850167835415
2,306.0,304.4,1.5999999999999996,0.4132991672688391,120.0,0.01333333333333333,90.0,0.0,1.0,-2247.910828954149,-2236.1570468419704,-11.753782112178442
3,307.0,304.4,2.75,0.4132991672688391,120.0,0.02291666666666667,90.0,0.0,1.0,-2256.3588598472775,-2236.1570468419704,-20.20181300530673
4,308.0,304.775,3.575000000000003,0.4132991672688391,120.0,0.02979166666666669,90.0,0.0,1.0,-2265.174196431411,-2238.9118395245123,-26.26235690689873
5,309.0,305.025,4.024999999999999,0.4132991672688391,120.0,0.03354166666666665,90.0,0.0,1.0,-2270.3164761054895,-2240.7483679795405,-29.56810812594904
6,310.0,305.15,5.000000000000003,0.4132991672688391,120.0,0.041666666666666685,90.0,0.0,1.0,-2278.3972013076122,-2241.666632207054,-36.730569100557965
7,311.0,305.15,6.200000000000003,0.4132991672688391,120.0,0.05166666666666669,90.0,0.0,1.0,-2287.212537891746,-2241.666632207054,-45.54590568469166
8,312.0,305.2333333333333,6.650000000000001,0.4132991672688391,120.0,0.05541666666666668,90.0,0.0,1.0,-2291.130465262472,-2242.2788083587297,-48.85165690374212
9,313.0,305.65,7.5,0.4132991672688391,120.0,0.0625,90.0,0.0,1.0,-2300.435542767947,-2245.3396891171096,-55.0958536508374
10,314.0,305.9,8.049999999999997,0.4132991672688391,120.0,0.06708333333333331,90.0,0.0,1.0,-2306.3124338240364,-2247.176217572138,-59.13621625189853
11,315.0,305.9833333333333,9.16666666666667,0.4132991672688391,120.0,0.07638888888888891,90.0,0.0,1.0,-2315.12777040817,-2247.7883937238134,-67.33937668435647
12,316.0,306.4,9.850000000000001,0.4132991672688391,120.0,0.08208333333333334,90.0,0.0,1.0,-2323.2084956102926,-2250.8492744821933,-72.35922112809908
