,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,00:00:00,304.15,304.15,0.0,0.4132991672688391,120,0.0,90,0,1,-2234.3205183869422,-2234.3205183869422,0.0
1,00:00:05,304.15,304.15,0.0,0.4132991672688391,120,0.0,90,0,1,-2234.3205183869422,-2234.3205183869422,0.0
2,00:00:10,304.15,304.15,0.0,0.4132991672688391,120,0.0,90,0,1,-2234.3205183869422,-2234.3205183869422,0.0
3,00:00:15,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,120,0.0016666666666666607,90,0,1,-2235.789741150965,-2234.3205183869422,-1.469222764022561
4,00:00:20,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,120,0.0016666666666666607,90,0,1,-2235.789741150965,-2234.3205183869422,-1.469222764022561
5,00:00:25,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,120,0.0016666666666666607,90,0,1,-2235.789741150965,-2234.3205183869422,-1.469222764022561
6,00:00:30,304.15,304.15,0.0,0.4132991672688391,120,0.0,90,0,1,-2234.3205183869422,-2234.3205183869422,0.0
7,00:00:35,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,120,0.0016666666666666607,90,0,1,-2235.789741150965,-2234.3205183869422,-1.469222764022561
8,00:00:40,304.34999999999997,304.15,0.1999999999999993,0.4132991672688391,120,0.0016666666666666607,90,0,1,-2235.789741150965,-2234.3205183869422,-1.469222764022561
9,00:00:45,304.75,304.15,0.6000000000000014,0.4132991672688391,120,0.005000000000000012,90,0,1,-2238.7281866790095,-2234.3205183869422,-4.407668292067228
10,00:00:50,304.54999999999995,304.15,0.3999999999999986,0.4132991672688391,120,0.0033333333333333214,90,0,1,-2237.258963914987,-2234.3205183869422,-2.9384455280446673
11,00:00:55,304.54999999999995,304.4,0.14999999999999858,0.4132991672688391,120,0.001249999999999988,90,0,1,-2237.258963914987,-2236.1570468419704,-1.101917073016466
12,00:01:00,304.95,304.4,0.5500000000000007,0.4132991672688391,120,0.004583333333333339,90,0,1,-2240.1974094430316,-2236.1570468419704,-4.040362601061133
13,00:01:05,305.15,304.4,0.75,0.4132991672688391,120,0.00625,90,0,1,-2241.666632207054,-2236.1570468419704,-5.509585365083694
14,00:01:10,305.34999999999997,304.4,0.9500000000000028,0.4132991672688391,120,0.00791666666666669,90,0,1,-2243.1358549710762,-2236.1570468419704,-6.978808129105801
15,00:01:15,305.34999999999997,304.4,0.9500000000000028,0.4132991672688391,120,0.00791666666666669,90,0,1,-2243.1358549710762,-2236.1570468419704,-6.978808129105801
16,00:01:20,305.54999999999995,304.4,1.1499999999999986,0.4132991672688391,120,0.009583333333333322,90,0,1,-2244.6050777350983,-2236.1570468419704,-8.448030893127907
17,00:01:25,305.95,304.4,1.5499999999999972,0.4132991672688391,120,0.012916666666666642,90,0,1,-2247.5435232631435,-2236.1570468419704,-11.386476421173029
18,00:01:30,306.15,304.4,1.75,0.4132991672688391,120,0.014583333333333334,90,0,1,-2249.0127460271656,-2236.1570468419704,-12.855699185195135
19,00:01:35,306.34999999999997,304.4,1.9500000000000028,0.4132991672688391,120,0.016250000000000025,90,0,1,-2250.481968791188,-2236.1570468419704,-14.324921949217696
20,00:01:40,306.95,304.4,2.549999999999997,0.4132991672688391,120,0.021249999999999977,90,0,1,-2254.889637083255,-2236.1570468419704,-18.73259024128447
21,00:01:45,307.15,304.4,2.75,0.4132991672688391,120,0.022916666666666665,90,0,1,-2256.358859847277,-2236.1570468419704,-20.201813005306576
22,00:01:50,307.34999999999997,304.4,2.950000000000003,0.4132991672688391,120,0.024583333333333356,90,0,1,-2257.8280826112996,-2236.1570468419704,-21.671035769329137
23,00:01:55,308.34999999999997,304.65,3.700000000000003,0.4132991672688391,120,0.03083333333333336,90,0,1,-2265.174196431411,-2237.993575296998,-27.18062113441283
24,00:02:00,308.34999999999997,304.9,3.450000000000003,0.4132991672688391,120,0.028750000000000022,90,0,1,-2265.174196431411,-2239.8301037520264,-25.34409267938463
25,00:02:05,308.95,304.9,4.049999999999997,0.4132991672688391,120,0.033749999999999974,90,0,1,-2269.5818647234782,-2239.8301037520264,-29.75176097145186
