,Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,304.0,0.0,0.11547005383792475,0.0,0.0,0.0019245008972987455,0.0,0.0,0.0,0.928977466647701,0.0,0.928977466647701
1,305.0,0.27704581925181204,0.2533402584464379,0.0,0.0,0.004222337640773965,0.0,0.0,0.0,2.536659745087982,2.2288837214459325,2.038168197459388
2,306.0,0.0,0.2338090388900025,0.0,0.0,0.0038968173148333746,0.0,0.0,0.0,1.8810360037777807,0.0,1.8810360037778104
3,307.0,0.13693063937628763,0.31104662029991753,0.0,0.0,0.005184110338331961,0.0,0.0,0.0,3.2975428856327342,1.1016317585920976,2.5024263151470274
4,308.0,0.13693063937629413,0.24849547279578443,0.0,0.0,0.004141591213263076,0.0,0.0,0.0,2.643916220620918,1.1016317585920457,1.9991910206883148
5,309.0,0.12499999999999525,0.1314977819838298,0.0,0.0,0.0021916296997304967,0.0,0.0,0.0,0.8045180856600306,1.005647607074934,1.0579234383016136
6,310.0,0.12909944487358718,0.32964627506869815,0.0,0.0,0.005494104584478302,0.0,0.0,0.0,2.995862311389339,1.0386283824945197,2.65206390163237
7,311.0,0.0,0.16329931618554752,0.0,0.0,0.002721655269759122,0.0,0.0,0.0,1.3137725324717142,0.0,1.3137725324716212
8,312.0,0.15811388300841672,0.32197308376115485,0.0,0.0,0.005366218062685908,0.0,0.0,0.0,2.995862311389356,1.2720547847419768,2.590331689815791
9,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,314.0,0.1118033988749863,0.290688837074974,0.0,0.0,0.004844813951249561,0.0,0.0,0.0,2.9229593603113595,0.8994785643318141,2.3386442672629206
11,315.0,0.14433756729741465,0.3378855822118902,0.0,0.0,0.0056314263701981665,0.0,0.0,0.0,3.045856314001338,1.1612218333096043,2.7183506177323773
12,316.0,0.0,0.16329931618554464,0.0,0.0,0.002721655269759065,0.0,0.0,0.0,1.1996153634452331,0.0,1.1996153634452331
13,317.0,0.14433756729741465,0.2598076211353291,0.0,0.0,0.004330127018922149,0.0,0.0,0.0,0.8482561583079516,1.0603201978849395,1.9085763561928912
14,318.0,0.39528470752104744,0.25347583711273175,0.0,0.0,0.004224597285212197,0.0,0.0,0.0,2.4141793495651336,2.9038064527988774,1.8620623500781333
15,319.0,0.2091650066335172,0.24238399287081772,0.0,0.0,0.0040397332145136215,0.0,0.0,0.0,2.74866410391022,1.5365499459143663,1.7805803998020535
16,320.0,0.22360679774997858,0.2588435821108957,0.0,0.0,0.004314059701848256,0.0,0.0,0.0,1.9711691846663815,1.6426409872221381,1.9014944157920082
17,321.0,0.12198750911856239,0.37496031536049257,0.0,0.0,0.006249338589341538,0.0,0.0,0.0,2.7950192119997137,0.8961341266167855,2.75450115466289
18,322.0,0.14433756729740232,0.33291640592396843,0.0,0.0,0.005548606765399482,0.0,0.0,0.0,1.4692227640221063,1.0603201978849395,2.445641810499914
19,323.0,0.22360679774997658,0.14142135623730837,0.0,0.0,0.0023570226039551427,0.0,0.0,0.0,1.0388973795139955,1.6426409872221275,1.0388973795137948
20,324.0,0.5448623679425676,0.34186985827943317,0.0,0.0,0.005697830971323887,0.0,0.0,0.0,1.943599027078942,4.002620971201667,2.511414890586167
21,325.0,0.1118033988749863,0.24392621835301176,0.0,0.0,0.004065436972550176,0.0,0.0,0.0,2.458479913462673,0.8213204936107824,1.7919097637306693
22,326.0,0.14433756729740232,0.08660254037844291,0.0,0.0,0.0014433756729740578,0.0,0.0,0.0,1.6965123166159033,1.060320197884841,0.6361921187312273
23,327.0,0.25819888974716615,0.1897366596101027,0.0,0.0,0.003162277660168375,0.0,0.0,0.0,1.3842134728148707,1.7302668410186692,1.2714812638059743
24,328.0,0.1881931631772657,0.14404860290887894,0.0,0.0,0.0024008100484813155,0.0,0.0,0.0,1.62313417196268,1.2611378394032973,0.9653121334191875
25,329.0,0.3908679799852949,0.2088327347690271,0.01469740340945478,0.0,0.0034805455794837863,0.0,0.0,0.0,85.46712688914477,81.86363014076791,3.8293580432309944
26,330.0,0.1118033988749863,0.35425979167836896,0.0,0.0,0.005904329861306148,0.0,0.0,0.0,2.5014474957205732,0.6823257438153694,2.1620145567406324
27,331.0,0.2738612787525908,0.19407902170679567,0.0,0.0,0.0032346503617799328,0.0,0.0,0.0,0.9188202958977727,1.6713499107124834,1.1844462169983712
28,332.0,0.10206207261596437,0.28240042492885986,0.0,0.0,0.004706673748814334,0.0,0.0,0.0,2.1374700235418223,0.622875335757017,1.7234635255481996
29,333.0,0.1293872923766803,0.30465144017385093,0.0,0.0,0.005077524002897481,0.0,0.0,0.0,2.300908090471604,0.7896386102707322,1.8592594018851167
30,334.0,0.1889822365046054,0.21491969707422334,0.0,0.0,0.0035819949512370572,0.0,0.0,0.0,1.8453456175883434,1.153341010992863,1.311634920246956
31,335.0,0.4228704818788388,0.4374007824003581,0.0,0.0,0.0072900130400059765,0.0,0.0,0.0,2.147457266572609,2.3446945363680802,2.4252608508888365
32,336.0,1.1487570923144983,1.2145643937917279,0.01721183647132915,0.0,0.020242739896528805,0.0,0.0,0.0,90.68090025324553,80.91792009198548,10.445604771327845
33,337.0,1.1750241777009554,1.260717688822161,0.0,0.0,0.021011961480369344,0.0,0.0,0.0,1.5850937946579193,5.900554610693031,6.3308770259662
34,338.0,0.6324555320336503,0.6408327915038857,0.0,0.0,0.010680546525064784,0.0,0.0,0.0,1.0796212942024213,3.17596733447768,3.2180349599189744
35,339.0,0.18446619684317417,0.21864481598143518,0.0,0.0,0.0036440802663572744,0.0,0.0,0.0,1.6263378657728893,0.9263238058891634,1.0979567072122762
36,340.0,0.0,0.23094010767585396,0.017815943342845274,0.0,0.003849001794597546,0.0,0.0,0.0,88.57434245690509,84.27690232920176,4.345747007985202
37,341.0,0.1889822365046215,0.13363062095621436,0.0,0.0,0.002227177015936931,0.0,0.0,0.0,1.179920500548664,0.8560043001661497,0.605286445372155
38,342.0,0.09731236802019794,0.24572095531066912,0.012973909892807585,0.0,0.004095349255177824,0.0,0.0,0.0,61.07357121029202,57.990687879827476,3.1818078643677556
39,343.0,0.25205201800465565,0.18549754893081608,0.0,0.0,0.0030916258155136056,0.0,0.0,0.0,0.6737603716267442,1.0245810857325535,0.7540399064797744
40,344.0,0.22941573387055939,0.15351629054269114,0.0,0.0,0.002558604842378179,0.0,0.0,0.0,0.957110914817532,0.932565521808024,0.6240374065919565
41,345.0,0.19656134827672642,0.1890165937881451,0.0,0.0,0.0031502765631357447,0.0,0.0,0.0,1.0166091914978719,0.7990137957423625,0.768344679078727
42,346.0,0.31530176764226714,0.30242683132303705,0.016907178123334816,0.0,0.005040447188717286,0.0,0.0,0.0,76.53442050999469,71.53364851554734,5.137994019892748
43,347.0,0.4077779968767716,0.3163421698431176,0.007452943814977241,0.0,0.005272369497385293,0.0,0.0,0.0,32.30426273944106,29.41319068191441,2.981700324522165
44,348.0,0.4624109553477355,0.27859826825357437,0.013740558127024322,0.0,0.004643304470892919,0.0,0.0,0.0,59.3403423872583,55.11209397873195,4.322515009279884
45,349.0,0.7672675510859931,0.5735257781319142,0.0,0.0,0.009558762968865256,0.0,0.0,0.0,0.8948778190248179,2.4606923520784507,1.8393459934171916
