,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
0,00:00:00,32.2,32.0,310.0,80,90,0,1
1,00:00:05,32.2,32.0,310.0,80,90,0,1
2,00:00:10,32.2,32.0,310.0,80,90,0,1
3,00:00:15,32.2,32.0,310.0,80,90,0,1
4,00:00:20,32.2,32.0,310.0,80,90,0,1
5,00:00:25,32.2,32.0,310.0,80,90,0,1
6,00:00:30,32.2,32.0,310.0,80,90,0,1
7,00:00:35,32.2,32.0,310.0,80,90,0,1
8,00:00:40,32.6,32.25,310.0,80,90,0,1
9,00:00:45,32.2,32.0,310.0,80,90,0,1
10,00:00:50,32.6,32.0,310.0,80,90,0,1
11,00:00:55,32.8,32.25,310.0,80,90,0,1
12,00:01:00,32.8,32.25,310.0,80,90,0,1
13,00:01:05,33.0,32.25,310.0,80,90,0,1
14,00:01:10,33.0,32.25,310.0,80,90,0,1
15,00:01:15,33.0,32.25,310.0,80,90,0,1
16,00:01:20,33.6,32.25,310.0,80,90,0,1
17,00:01:25,33.4,32.25,310.0,80,90,0,1
18,00:01:30,33.4,32.75,310.0,80,90,0,1
19,00:01:35,33.6,32.25,310.0,80,90,0,1
20,00:01:40,33.8,32.25,310.0,80,90,0,1
21,00:01:45,34.2,32.5,310.0,80,90,0,1
22,00:01:50,34.2,32.75,310.0,80,90,0,1
23,00:01:55,34.6,33.0,310.0,80,90,0,1
24,00:02:00,34.6,32.75,310.0,80,90,0,1
25,00:02:05,35.2,33.25,310.0,80,90,0,1
26,00:02:10,35.2,33.0,310.0,80,90,0,1
27,00:02:15,35.4,33.25,310.0,80,90,0,1
28,00:02:20,36.0,33.25,310.0,80,90,0,1
29,00:02:25,36.2,33.0,310.0,80,90,0,1
30,00:02:30,36.8,33.25,310.0,80,90,0,1
31,00:02:35,37.0,33.25,310.0,80,90,0,1
32,00:02:40,37.2,33.25,310.0,80,90,0,1
33,00:02:45,37.4,33.25,310.0,80,90,0,1
34,00:02:50,37.8,33.25,310.0,80,90,0,1
35,00:02:55,38.2,33.25,310.0,80,90,0,1
36,00:03:00,38.2,33.75,310.0,80,90,0,1
37,00:03:05,38.4,33.75,310.0,80,90,0,1
38,00:03:10,38.8,33.75,310.0,80,90,0,1
39,00:03:15,39.4,34.0,310.0,80,90,0,1
40,00:03:20,39.6,34.0,310.0,80,90,0,1
41,00:03:25,40.0,34.0,310.0,80,90,0,1
42,00:03:30,40.6,34.0,310.0,80,90,0,1
43,00:03:35,40.8,34.0,310.0,80,90,0,1
44,00:03:40,41.0,34.25,310.0,80,90,0,1
45,00:03:45,41.2,34.25,310.0,80,90,0,1
46,00:03:50,41.6,34.5,310.0,80,90,0,1
47,00:03:55,41.8,34.75,310.0,80,90,0,1
48,00:04:00,42.4,34.75,310.0,80,90,0,1
49,00:04:05,42.4,34.75,310.0,80,90,0,1
50,00:04:10,42.6,35.0,310.0,80,90,0,1
51,00:04:15,43.4,35.0,310.0,80,90,0,1
52,00:04:20,43.6,35.25,310.0,80,90,0,1
53,00:04:25,44.0,35.5,310.0,80,90,0,1
54,00:04:30,44.2,35.5,310.0,80,90,0,1
55,00:04:35,44.8,35.5,310.0,80,90,0,1
56,00:04:40,44.8,35.75,310.0,80,90,0,1
57,00:04:45,44.8,35.75,310.0,80,90,0,1
58,00:04:50,44.0,35.75,310.0,80,90,0,1
59,00:04:55,44.6,36.0,310.0,80,90,0,1
60,00:05:00,45.0,36.0,310.0,80,90,0,1
61,00:05:05,45.4,36.0,310.0,80,90,0,1
62,00:05:10,45.6,36.25,310.0,80,90,0,1
63,00:05:15,45.8,36.25,310.0,80,90,0,1
64,00:05:20,46.2,37.0,310.0,80,90,0,1
65,00:05:25,46.6,37.0,310.0,80,90,0,1
66,00:05:30,47.0,37.0,310.0,80,90,0,1
67,00:05:35,47.4,37.25,310.0,80,90,0,1
68,00:05:40,47.8,37.25,310.0,80,90,0,1
69,00:05:45,48.0,37.25,310.0,80,90,0,1
70,00:05:50,48.4,37.5,310.0,80,90,0,1
71,00:05:55,48.6,37.5,310.0,80,90,0,1
72,00:06:00,49.2,37.5,310.0,80,90,0,1
73,00:06:05,49.2,37.5,310.0,80,90,0,1
74,00:06:10,50.2,38.0,310.0,80,90,0,1
75,00:06:15,50.4,38.0,310.0,80,90,0,1
76,00:06:20,50.6,38.0,310.0,80,90,0,1
77,00:06:25,50.8,38.0,310.0,80,90,0,1
78,00:06:30,51.2,38.25,310.0,80,90,0,1
79,00:06:35,51.4,38.25,310.0,80,90,0,1
80,00:06:40,51.6,38.25,310.0,80,90,0,1
81,00:06:45,51.8,38.25,310.0,80,90,0,1
82,00:06:50,52.2,38.75,310.0,80,90,0,1
83,00:06:55,52.6,38.75,310.0,80,90,0,1
84,00:07:00,52.8,39.25,335.0,80,90,0,1
85,00:07:05,53.2,39.25,335.0,80,90,0,1
86,00:07:10,53.8,39.25,335.0,80,90,0,1
87,00:07:15,53.8,39.25,335.0,80,90,0,1
88,00:07:20,54.2,39.25,335.0,80,90,0,1
89,00:07:25,54.6,39.5,335.0,80,90,0,1
90,00:07:30,54.8,39.75,335.0,80,90,0,1
91,00:07:35,55.0,40.0,335.0,80,90,0,1
92,00:07:40,55.4,40.25,335.0,80,90,0,1
93,00:07:45,55.4,40.0,335.0,80,90,0,1
94,00:07:50,56.0,40.25,335.0,80,90,0,1
95,00:07:55,56.0,40.5,335.0,80,90,0,1
96,00:08:00,56.4,40.5,335.0,80,90,0,1
97,00:08:05,56.8,40.5,335.0,80,90,0,1
